,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
10,Acupuncture and Massage College,166,182,201,56,19,FL,1,3,2,2,13,1,0,0,0,20,77,11,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,20,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
11,Adams State University,18,10,16,0,0,CO,1,1,2,2,33,2,14,28,31,22,32,136,0,0,47,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,11,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
12,Adelphi University,95,130,63,8,19,NY,1,2,2,2,21,3,62,71,72,21,73,563,0,0,69,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,28,5,8,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
13,Adler Graduate School,0,0,0,14,0,MN,1,2,2,2,13,1,22,34,71,20,50,26,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,0,8,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
14,Adler University,14,16,23,1,0,IL,1,2,2,2,11,2,22,34,71,20,50,65,0,0,16,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
15,Adrian College,34,23,27,3,0,MI,1,2,2,2,32,2,51,53,53,3,54,126,0,0,5,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
16,AdventHealth University,12,27,40,16,0,FL,1,2,2,2,11,2,15,24,36,48,35,152,1,0,17,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
17,Agnes Scott College,40,20,14,12,0,GA,1,2,2,2,21,2,68,72,72,20,72,100,1,0,30,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,36,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
18,AI Miami International University of Art and Design,0,0,0,11,0,FL,1,3,2,2,11,1,21,21,21,20,25,42,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,75,13,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
19,Air Force Institute of Technology-Graduate School of Engineering & Management,166,182,201,56,19,OH,1,1,2,2,21,2,22,34,71,20,50,-149,-5,74,60,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,44,14,1.0,1,1,0,0,UnknownEthnicity,UnknownEthnicity,White,455,625,502,661,22,22,23,27,22,24
20,Alabama A & M University,52,46,94,40,0,AL,1,1,1,2,12,3,11,23,29,24,29,290,9,0,2,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,80,13,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
21,Alabama College of Osteopathic Medicine,3,12,9,5,0,AL,1,2,2,2,41,1,22,34,71,20,50,31,3,0,14,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,71,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
22,Alabama State University,59,57,63,38,0,AL,1,1,1,2,12,2,15,27,32,33,32,259,5,0,72,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,1,0,White,White,Asian,455,625,502,661,22,22,23,27,22,24
23,Alaska Bible College,166,182,201,56,19,AK,1,2,2,2,32,1,22,34,71,20,63,2,0,0,1,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,30,45,16,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
24,Alaska Pacific University,8,12,21,8,0,AK,1,2,2,2,11,1,50,56,56,33,56,66,0,1,20,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
25,Albany College of Pharmacy and Health Sciences,8,37,31,16,0,NY,1,2,2,2,13,2,47,62,62,20,75,103,20,2,14,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,17,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
26,Albany Law School,24,5,9,0,0,NY,1,2,2,2,13,1,22,34,71,20,50,48,0,0,7,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,25,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
27,Albany Medical College,102,121,207,40,0,NY,1,2,2,2,13,1,22,34,71,20,50,645,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
28,Albany State University,47,50,60,35,11,GA,1,1,1,2,13,3,12,34,41,45,26,240,0,0,58,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,100,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
29,Albert Einstein College of Medicine,11,19,11,2,0,NY,1,2,2,2,11,2,22,34,71,20,50,54,737,0,3,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,29,13,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
30,Albertus Magnus College,20,12,16,1,0,CT,1,2,2,2,12,2,36,46,46,34,49,81,0,0,26,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
31,Albion College,50,24,44,2,3,MI,1,2,2,2,31,2,58,66,68,20,68,137,0,0,27,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,33,26,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
32,Albizu University-Miami,4,8,12,0,0,FL,1,2,2,2,13,1,17,50,50,20,50,50,0,0,3,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
33,Albright College,23,41,32,16,0,PA,1,2,2,2,13,2,57,59,60,20,60,129,0,0,16,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,50,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
34,Alcorn State University,25,27,53,43,0,MS,1,1,1,2,43,2,25,41,45,20,45,174,4,0,38,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,49,20,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
35,Alder Graduate School of Education,0,0,0,0,0,CA,1,2,2,2,13,1,22,34,71,20,50,22,0,0,12,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,78,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
36,Alderson Broaddus University,3,18,31,1,0,WV,1,2,2,2,32,1,25,30,32,20,32,61,0,0,6,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
37,Alfred University,55,33,53,2,2,NY,1,2,2,2,33,2,46,59,61,26,61,162,0,0,20,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
38,Alhambra Medical University,166,182,201,56,19,CA,1,3,2,2,21,1,22,34,71,20,50,9,0,0,8,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
39,Alice Lloyd College,9,4,12,4,0,KY,1,2,2,2,43,1,23,34,35,11,35,31,0,0,0,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
40,Allegheny College,38,42,61,3,0,PA,1,2,2,2,32,2,68,72,73,20,73,170,0,0,15,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
41,Allegheny Wesleyan College,3,0,0,0,0,OH,1,2,2,2,41,1,4,21,29,13,42,7,0,2,5,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
42,Allen College,9,20,13,1,0,IA,1,2,2,2,13,1,22,34,71,20,50,58,0,0,8,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
43,Allen University,0,8,23,10,0,SC,1,2,1,2,12,1,8,14,19,23,19,49,0,0,3,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
44,Alliant International University-San Diego,42,32,32,0,0,CA,1,3,2,2,11,2,7,13,20,53,20,193,0,3,77,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,8,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
