instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
Brigham Young University-Hawaii,30,44,50,0,0,HI,1,2,2,2,31,2,75,90,69,55,52,56,73,26,0,9,3,6,0,5,27,1,44,13,100,0,0,10,66,25,64,0,0,0,665,57,60,69,27,36,49,,67,163,0,0,163,10,4,47,25,29,24,6,138,51,6,51,27,3,6,0,65,25,23,67,540,630,520,620,21,26,21,27,20,26
Brigham Young University-Idaho,0,0,0,0,0,ID,1,2,2,2,32,5,97,96,98,49,51,48,,,0,2,1,1,1,3,67,2,17,9,50,32,18,24,71,4,74,51,0,0,5948,1728,44,60,17,34,49,18,56,1363,0,0,1363,12,57,90,99,69,67,15,287,76,3,142,53,13,6,1,42,45,37,64,500,610,500,590,20,26,19,25,18,25
Brigham Young University-Provo,420,513,321,10,0,UT,1,2,2,2,12,5,69,65,73,81,82,80,,,0,3,2,1,0,7,81,1,3,4,15,78,8,32,59,0,92,77,212,1028,6684,0,65,79,21,43,75,,75,1462,53,2,1517,90,46,213,627,568,471,54,964,271,15,488,150,40,28,37,10,24,29,89,610,700,590,710,26,32,26,34,25,31
Brite Divinity School,7,6,3,0,0,TX,1,2,2,2,11,1,,,,,,,,,3,1,0,1,17,5,68,0,6,0,100,0,0,,,,,,5,37,0,0,,,,,,,,16,0,0,16,1,5,5,4,1,0,0,6,1,0,5,0,0,28,17,44,5,,,,,,,,,,,,
Broadview University-West Jordan,0,0,0,0,0,UT,1,3,2,2,21,1,,,,,,,31,69,1,4,3,1,2,7,75,7,1,3,0,71,29,93,7,0,,,0,0,0,33,17,27,0,0,0,,24,13,0,0,13,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,96,0,,,,,,,,,,,,
Brookline College-Albuquerque,0,0,0,14,0,NM,1,3,2,2,11,1,,,,,,,,,7,2,2,0,5,64,18,0,0,2,0,100,0,98,2,0,86,,0,0,82,19,35,61,62,62,62,1,56,28,0,0,28,0,13,6,0,0,0,0,4,0,0,4,0,0,0,0,56,44,,,,,,,,,,,,
Brookline College-Phoenix,0,0,0,24,0,AZ,1,3,2,2,11,2,,,,,,,,,7,5,5,0,14,28,29,14,0,3,30,70,0,88,12,0,68,,0,8,168,60,40,53,56,56,56,,50,45,0,0,45,0,21,13,0,0,0,0,4,0,0,4,0,0,0,0,56,44,,,,,,,,,,,,
Brookline College-Tempe,0,0,0,8,0,AZ,1,3,2,2,12,1,,,,,,,,,5,1,1,0,11,40,21,20,0,1,0,100,0,99,1,0,100,,0,0,0,3,54,56,,,,2,56,9,0,0,9,0,18,3,0,0,0,0,4,0,0,4,0,0,0,0,56,44,,,,,,,,,,,,
Brookline College-Tucson,0,0,0,2,0,AZ,1,3,2,2,11,1,,,,,,,,,4,2,1,1,11,40,37,3,0,2,0,100,0,98,2,0,,,0,0,0,26,42,56,23,23,23,1,53,5,0,0,5,0,12,8,0,0,0,0,1,0,0,1,0,0,0,0,56,44,,,,,,,,,,,,
Brooklyn Law School,34,9,22,0,0,NY,1,2,2,2,11,2,,,,,,,,,0,9,9,0,4,10,61,4,8,5,0,0,100,,,,,,297,12,0,0,,,,,,,,86,0,0,86,13,14,16,11,7,20,0,40,0,0,27,13,0,13,0,47,0,,,,,,,,,,,,
Broward College,55,152,144,27,0,FL,1,1,2,2,12,5,,,,,,,56,31,0,4,3,0,27,38,16,4,5,7,47,41,13,99,1,0,,,0,0,657,6411,31,38,,,,12,35,650,0,0,650,24,305,160,63,110,32,0,399,85,5,252,57,0,41,0,29,22,,,,,,,,,,,,
Brown University,412,163,145,1,79,RI,1,2,2,2,12,3,8,9,7,62,60,64,97,1,0,16,16,0,7,10,39,4,18,5,55,31,13,3,83,14,92,,354,732,1743,0,95,95,84,94,95,,95,921,455,0,1376,112,173,564,359,496,154,79,1092,483,8,504,93,4,43,4,49,0,71,43,710,770,730,790,33,35,34,36,30,35
Bryan College of Health Sciences,4,17,20,1,0,NE,1,2,2,2,11,1,58,50,58,53,40,54,82,17,0,3,3,0,3,5,87,0,0,1,8,62,30,94,5,0,90,75,20,7,121,0,0,81,51,73,76,2,76,53,0,0,53,3,2,13,4,1,4,1,5,0,0,5,0,0,6,0,13,0,,,,,,,,,,,,
Bryan College-Dayton,18,9,8,4,0,TN,1,2,2,2,32,2,,,,,,,,,0,1,1,0,5,3,84,2,1,2,39,8,52,76,22,0,64,,0,94,221,9,43,52,38,46,47,,47,76,0,0,76,6,26,6,11,8,25,0,66,9,28,14,15,0,8,0,59,21,,,,,,,,,,,,
Bryan University,0,0,0,0,0,MO,1,3,2,2,12,1,,,,,,,,,1,2,1,1,20,6,56,8,0,7,91,9,0,17,83,0,,,0,3,19,66,47,71,63,63,63,25,63,17,0,0,17,0,15,3,0,0,0,0,0,0,0,0,0,0,95,0,4,1,,,,,,,,,,,,
Bryan University,0,0,0,13,0,AZ,1,3,2,2,12,2,,,,,,,,,1,1,1,0,19,7,43,20,0,9,100,0,0,4,96,0,82,,0,0,113,214,31,22,45,45,45,1,25,35,0,0,35,1,72,24,9,3,0,0,2,0,0,2,0,0,0,0,35,59,,,,,,,,,,,,
Bryant & Stratton College-Albany,0,0,0,6,0,NY,1,3,2,2,21,1,,,,,,,54,42,2,5,5,0,30,16,38,1,0,9,5,21,74,76,11,13,,,0,0,6,111,11,33,,,,21,27,25,0,0,25,1,1,7,1,1,19,0,9,2,0,7,0,0,27,2,55,2,,,,,,,,,,,,
Bryant & Stratton College-Buffalo,0,0,0,32,0,NY,1,3,2,2,11,1,,,,,,,37,48,2,3,2,0,36,8,48,0,0,4,2,16,82,100,0,0,,100,0,0,86,181,19,19,,,,12,19,70,0,0,70,1,5,17,3,2,34,0,12,2,0,10,0,0,63,3,27,1,,,,,,,,,,,,
Bryant & Stratton College-Greece,0,0,0,12,0,NY,1,3,2,2,21,1,,,,,,,41,56,0,2,2,0,38,11,43,1,0,4,3,43,54,92,8,0,,,0,0,7,82,16,20,0,0,0,16,19,29,0,0,29,1,5,7,0,1,21,0,8,1,0,7,0,0,48,3,45,2,,,,,,,,,,,,
Bryant & Stratton College-Online,0,0,0,40,0,NY,1,3,2,2,21,3,,,,,,,21,78,1,1,1,0,37,7,49,0,0,5,100,0,0,16,84,0,14,0,0,0,80,710,19,18,0,0,0,16,18,183,0,0,183,0,10,11,7,5,133,0,35,1,5,29,0,0,0,0,94,4,,,,,,,,,,,,
Bryant & Stratton College-Parma,0,0,0,35,0,OH,1,3,2,2,21,1,,,,,,,43,56,1,1,1,0,40,6,44,2,0,7,4,48,48,77,23,0,100,,0,0,18,175,0,10,0,0,0,20,8,64,0,0,64,2,6,13,2,2,27,0,10,1,1,8,0,0,50,2,39,1,,,,,,,,,,,,
Bryant & Stratton College-Syracuse North,0,0,0,28,0,NY,1,3,2,2,21,1,,,,,,,50,49,1,2,2,0,33,8,50,0,1,4,3,40,57,86,8,6,,,0,0,8,174,22,25,,,,18,24,38,0,0,38,1,4,8,1,2,22,0,13,3,0,10,0,0,59,3,33,1,,,,,,,,,,,,
Bryant & Stratton College-Virginia Beach,0,0,0,40,0,VA,1,3,2,2,11,2,,,,,,,36,63,1,3,3,0,61,5,25,1,0,5,8,39,53,81,18,0,100,,0,0,36,390,3,11,,,,22,9,78,0,0,78,1,20,17,3,4,59,0,26,4,2,20,0,0,65,3,25,1,,,,,,,,,,,,
Bryant & Stratton College-Wauwatosa,0,0,0,47,0,WI,1,3,2,2,21,2,,,,,,,46,54,1,3,3,0,36,13,39,1,0,7,4,42,54,84,16,0,31,,0,0,46,231,0,11,33,33,33,19,8,82,0,0,82,1,11,15,3,2,58,0,15,4,1,10,0,0,54,6,27,1,,,,,,,,,,,,
Bryant University,73,22,22,0,53,RI,1,2,2,2,21,2,76,73,80,14,15,12,99,1,0,4,4,0,3,6,77,2,6,2,12,0,88,8,88,4,89,,0,212,836,0,79,87,79,82,82,17,82,214,3,0,217,14,66,53,53,27,78,6,192,96,3,73,14,6,25,0,66,0,69,8,560,630,560,650,25,30,,,,
Bryn Athyn College of the New Church,2,6,23,0,0,PA,1,2,2,2,21,1,78,76,79,19,27,15,,,0,3,3,0,15,2,56,16,5,2,26,40,34,62,25,4,75,,0,2,56,1,28,40,23,29,30,29,34,38,0,0,38,4,3,20,2,5,15,1,18,10,0,5,3,0,95,2,2,0,85,13,470,620,460,578,19,24,17,24,16,26
Bryn Mawr College,44,41,39,5,33,PA,1,2,2,2,21,2,38,,38,28,,28,,,0,10,10,0,6,10,50,4,16,5,0,0,100,11,77,12,87,,8,94,358,0,,85,80,83,85,7,85,188,1,0,189,19,10,157,6,30,25,9,205,119,0,85,0,1,41,1,51,0,,,,,,,,,,,,
Bucknell University,130,130,138,0,0,PA,1,2,2,2,32,2,38,35,40,27,26,27,97,1,0,5,5,0,4,7,75,0,5,4,0,0,100,23,72,5,92,,0,19,850,0,86,89,84,87,88,10,88,404,0,0,404,8,34,111,120,95,127,9,387,174,0,136,44,33,33,1,57,5,54,27,620,700,630,730,28,32,29,34,26,30
Buena Vista University,14,16,21,10,0,IA,1,2,2,2,33,2,56,59,52,23,21,27,66,33,1,1,1,0,3,8,76,7,0,5,54,8,38,64,36,0,74,,0,104,436,0,53,72,56,62,62,,62,135,1,0,136,5,35,6,15,10,57,1,70,34,14,22,0,0,22,1,52,15,,,,,,,,,,,,
Burrell College of Osteopathic Medicine,5,11,3,2,0,NM,1,3,2,2,22,1,,,,,,,,,0,21,21,0,4,21,42,7,0,5,0,49,51,,,,,,133,0,0,0,,,,,,,,27,1,0,28,5,20,29,6,5,0,0,18,0,0,18,0,0,4,0,62,0,,,,,,,,,,,,
Bushnell University,6,9,7,2,0,OR,1,2,2,2,12,1,68,67,69,31,29,33,,,3,5,4,1,4,5,69,2,4,8,31,42,27,61,38,0,67,,0,72,133,0,58,48,49,49,49,32,51,42,0,0,42,2,2,26,2,3,32,2,15,3,0,11,0,1,8,1,63,11,53,19,520,595,495,585,16,25,15,23,16,25
Butler University,116,108,69,39,36,IN,1,2,2,2,11,3,76,76,75,10,9,11,97,1,0,3,3,0,3,5,83,1,1,3,3,5,92,44,56,1,86,,98,226,955,2,76,87,73,80,81,14,82,396,4,0,400,19,31,198,30,50,120,9,210,89,2,98,19,2,17,2,49,21,70,60,580,660,570,660,25,30,24,31,24,29
Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,PA,1,2,2,2,11,1,,,,,,,,,0,2,2,0,0,0,74,19,0,4,72,28,0,,,,,,0,5,0,0,,,,,,,,7,0,0,7,1,5,1,1,0,0,0,0,0,0,0,0,0,98,1,0,1,,,,,,,,,,,,
Cabarrus College of Health Sciences,0,11,9,11,0,NC,1,2,2,2,13,1,35,,35,78,,78,54,46,1,2,2,0,13,6,74,0,0,3,23,49,28,94,6,0,,,0,15,32,107,50,67,,,,,65,43,1,0,44,1,11,4,2,0,1,0,6,0,0,6,0,0,29,0,44,0,83,61,505,555,485,530,17,22,15,22,17,21
Cabrini University,19,19,35,3,0,PA,1,2,2,2,21,2,62,54,65,24,34,20,,,0,2,2,0,19,11,58,6,0,3,5,86,9,67,33,0,76,100,10,173,324,0,51,57,47,54,55,,55,129,0,0,129,9,32,44,18,9,42,0,32,5,0,17,9,1,15,1,84,0,59,7,480,570,460,555,17,24,16,23,15,22
Cairn University-Langhorne,19,12,11,2,0,PA,1,2,2,2,21,2,81,82,81,49,54,45,,,0,5,5,0,12,4,66,2,4,7,16,12,72,55,39,5,82,,0,149,136,1,43,63,29,53,55,23,55,72,0,0,72,4,1,20,10,6,14,1,52,20,9,23,0,0,4,0,36,57,,,,,,,,,,,,
Caldwell University,34,17,23,5,0,NJ,1,2,2,2,21,2,92,89,93,12,13,11,,,0,3,3,0,15,27,36,9,8,1,4,18,78,91,8,2,82,,5,119,335,0,56,68,51,62,64,26,64,146,0,0,146,4,11,38,18,8,34,4,29,2,0,27,0,0,19,0,32,37,89,10,460,560,460,550,16,23,15,22,16,24
California Aeronautical University,0,0,0,27,0,CA,1,3,2,2,21,1,,,,,,,73,26,0,12,10,2,5,36,43,4,0,0,7,76,17,100,0,0,78,,0,6,15,1,40,27,,,,5,30,33,0,0,33,0,0,5,9,1,1,0,45,28,5,6,6,0,0,0,100,0,,,,,,,,,,,,
California Arts University,,,,,,CA,1,2,2,2,21,1,,,,,,,,,0,45,45,0,0,0,0,0,55,0,0,0,100,,,,,,0,5,0,0,,,,,,,,5,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,73,4,15,4,,,,,,,,,,,,
California Baptist University,111,104,104,1,18,CA,1,2,2,2,11,4,80,79,81,24,26,23,77,21,1,7,7,1,8,38,34,4,3,5,23,60,17,89,9,2,76,34,15,1143,1745,9,57,65,41,58,62,26,62,517,0,0,517,9,51,68,55,37,127,5,223,45,10,113,36,19,22,10,51,6,92,24,480,580,480,570,18,25,18,24,17,25
California Christian College,,,,,,CA,1,2,2,2,11,1,100,,100,100,,100,,,0,8,8,0,31,38,23,0,0,0,23,15,62,0,0,0,0,,0,0,1,0,,,,,,,,4,0,0,4,1,1,1,0,0,0,0,1,0,1,0,0,0,100,0,0,0,,,,,,,,,,,,
California College of the Arts,23,41,22,0,0,CA,1,2,2,2,11,2,85,81,87,9,13,7,,,1,17,16,0,5,13,17,4,42,1,1,0,99,40,24,36,71,,0,172,353,0,53,74,52,64,67,,67,197,2,28,227,10,6,57,25,36,20,0,89,24,0,45,10,10,71,5,4,0,,,,,,,,,,,,
California College San Diego,0,0,0,0,0,CA,1,2,2,2,11,1,,,,,,,,,1,14,11,3,17,43,16,5,0,4,0,100,0,100,0,0,71,,0,0,61,132,40,37,51,51,51,2,38,32,0,0,32,1,14,3,7,4,0,1,5,0,1,4,0,0,99,1,0,0,,,,,,,,,,,,
California College San Diego,0,0,0,0,0,CA,1,2,2,2,21,1,,,,,,,,,0,9,5,4,9,42,27,6,0,7,0,100,0,100,0,0,75,,0,0,21,45,53,55,67,67,67,3,54,12,0,0,12,0,6,2,4,2,0,0,2,0,1,1,0,0,98,1,0,0,,,,,,,,,,,,
California College San Diego-CollegeAmerica-Phoenix,0,0,0,0,0,AZ,1,2,2,2,11,1,,,,,,,,,5,3,2,2,12,49,22,2,0,6,0,100,0,100,0,0,29,,0,0,2,125,31,39,50,50,50,1,36,7,0,0,7,0,10,3,5,1,0,2,3,0,1,2,0,0,97,0,0,0,,,,,,,,,,,,
California Health Sciences University,5,14,24,0,0,CA,1,3,2,2,21,1,,,,,,,,,0,44,43,0,2,12,30,7,0,4,0,0,100,,,,,,53,0,0,0,,,,,,,,43,0,0,43,3,11,15,4,4,3,0,15,0,0,15,0,0,7,0,16,0,,,,,,,,,,,,
California Institute of Advanced Management,3,0,0,0,0,CA,1,2,2,2,21,1,,,,,,,,,0,0,0,0,1,0,0,0,99,0,100,0,0,,,,,,0,19,0,0,,,,,,,,16,2,0,18,0,1,15,0,0,1,0,5,0,3,2,0,0,0,0,86,0,,,,,,,,,,,,
California Institute of Integral Studies,24,14,13,0,4,CA,1,2,2,2,11,2,,,,,,,13,87,0,7,7,0,7,12,59,4,6,5,27,18,55,,,,,,121,232,39,0,,,,,,,,104,0,0,104,5,53,37,11,5,4,0,7,0,0,7,0,0,9,1,74,13,,,,,,,,,,,,
California Institute of Technology,266,1,43,20,20,CA,1,2,2,2,12,2,7,5,11,42,45,39,96,0,0,23,23,0,1,11,29,0,30,5,0,0,100,41,48,9,94,,146,101,207,0,91,92,86,91,92,4,92,369,600,0,969,21,16,316,266,691,92,6,740,271,0,332,127,10,55,3,24,1,45,34,740,780,790,800,35,36,35,36,35,36
California Institute of the Arts,0,0,0,0,0,CA,1,2,2,2,21,2,27,29,27,25,29,22,,,0,7,7,0,5,13,38,4,27,6,0,0,100,34,40,26,60,0,4,177,215,0,62,69,56,64,66,,66,181,0,0,181,7,6,74,7,9,34,0,82,26,0,52,4,0,20,6,31,42,,,,,,,,,,,,
California Intercontinental University,0,0,0,0,0,CA,1,3,2,2,11,1,,,,,,,17,81,1,12,11,1,43,17,23,3,0,1,100,0,0,65,35,0,,18,33,12,7,3,,,,,,,,15,0,0,15,0,7,3,6,1,0,0,4,0,4,0,0,0,0,0,57,0,,,,,,,,,,,,
California International Business University,,,,,,CA,1,2,2,2,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Jazz Conservatory,,,,,,CA,1,2,2,2,12,1,100,100,,100,100,,60,29,0,9,3,6,20,14,54,0,3,0,0,0,100,100,0,0,0,,0,0,11,1,0,0,0,0,0,,0,11,0,2,13,0,4,2,0,0,1,0,4,0,0,4,0,0,3,92,0,0,,,,,,,,,,,,
California Lutheran University,61,50,40,3,25,CA,1,2,2,2,12,2,74,73,76,12,14,12,87,11,0,5,5,0,3,38,39,2,5,6,93,7,0,82,16,2,79,,19,485,863,0,64,75,66,70,71,21,71,274,0,0,274,7,52,62,21,20,85,2,161,55,0,93,13,0,17,0,50,17,81,27,540,620,530,620,20,27,20,27,18,26
California Miramar University,,,,,,CA,1,3,2,2,11,1,58,61,40,95,95,100,,,0,1,1,0,17,18,12,3,45,5,9,91,0,63,25,13,86,,0,46,22,9,,,,,,,,7,0,0,7,1,2,2,4,1,2,0,2,0,0,2,0,0,0,0,75,5,,,,,,,,,,,,
California Polytechnic State University-San Luis Obispo,323,165,182,0,209,CA,1,1,2,2,23,5,38,35,42,24,26,22,96,3,0,14,13,0,1,18,54,4,2,8,83,17,0,77,22,1,94,73,0,493,4846,0,80,86,53,79,83,2,83,1009,2,0,1011,27,28,95,276,196,282,38,574,209,0,216,113,36,11,4,66,10,80,42,610,690,610,720,26,32,25,34,26,31
California State University Maritime Academy,15,18,16,0,14,CA,1,1,2,2,12,1,82,82,84,23,24,21,89,10,1,12,10,1,2,22,44,8,1,11,32,57,11,90,10,0,77,,0,7,212,0,60,65,48,60,61,4,61,71,0,0,71,5,4,27,54,17,29,2,81,46,1,18,9,7,8,0,48,19,,,,,,,,,,,,
California State University-Channel Islands,57,32,63,0,71,CA,1,1,2,2,22,3,79,73,83,8,9,8,74,25,0,6,6,0,2,54,26,4,4,4,97,2,0,100,0,0,83,47,0,79,2022,0,51,57,22,48,55,7,55,290,0,0,290,19,10,38,135,53,81,1,175,67,0,68,32,8,15,1,66,0,,,,,,,,,,,,
California State University-Chico,169,99,143,0,99,CA,1,1,2,2,12,4,90,88,91,13,14,12,85,14,1,6,5,0,3,35,44,4,3,5,94,6,0,98,1,0,83,59,0,272,4017,0,60,69,29,58,65,5,65,646,0,0,646,19,27,51,136,118,179,23,408,119,0,202,69,18,51,3,34,0,90,24,490,590,480,580,18,24,16,24,17,24
California State University-Dominguez Hills,111,69,111,0,128,CA,1,1,2,2,13,4,81,77,84,14,15,14,66,32,0,8,8,0,11,64,7,3,5,2,94,5,0,100,0,0,78,43,0,797,3262,0,37,53,12,37,48,4,48,596,0,0,596,27,19,47,149,76,170,10,271,79,0,144,34,14,23,0,60,2,,,,,,,,,,,,
California State University-Fresno,224,145,198,0,224,CA,1,1,2,2,11,5,90,88,92,27,27,26,82,14,0,12,12,0,3,55,18,4,5,3,95,4,1,98,1,1,87,53,80,791,5313,0,51,62,19,46,58,2,58,1004,0,0,1004,37,24,51,190,113,240,16,383,129,0,173,66,15,39,4,46,9,97,27,450,560,440,540,16,21,14,21,16,21
California State University-Fullerton,364,217,212,0,225,CA,1,1,2,2,21,5,68,63,71,18,17,18,79,19,0,21,21,0,2,46,19,3,6,4,93,6,0,99,1,0,89,71,60,1724,9420,0,62,74,26,58,69,2,69,1351,0,0,1351,46,26,81,366,197,288,30,542,144,0,301,67,30,38,2,46,6,97,23,500,590,500,590,18,23,17,23,17,24
California State University-Long Beach,362,194,231,0,298,CA,1,1,2,2,11,5,42,40,44,17,18,17,80,18,0,20,20,0,4,45,17,3,6,4,96,4,0,98,1,1,89,74,70,1713,8607,0,68,77,29,64,73,2,73,1494,1,0,1495,40,58,62,322,191,333,28,650,170,0,357,98,25,20,2,61,10,95,19,510,620,510,620,20,26,19,26,18,26
California State University-Los Angeles,259,78,197,0,162,CA,1,1,2,2,11,5,76,71,80,17,18,16,75,22,0,12,12,0,4,69,6,2,6,1,99,1,0,99,0,1,83,53,18,1282,5982,0,46,57,9,39,52,2,52,981,0,0,981,30,24,63,214,116,166,16,447,117,0,251,65,14,38,1,36,0,97,24,440,530,430,530,15,20,14,21,16,20
California State University-Monterey Bay,58,44,72,0,38,CA,1,1,2,2,22,3,86,82,87,9,9,9,80,19,0,7,6,0,3,50,26,4,5,5,95,4,0,97,3,0,81,80,0,267,1996,0,59,61,29,54,60,7,60,290,0,0,290,17,14,32,138,81,110,3,150,20,0,102,21,7,13,0,58,11,93,29,480,590,480,570,17,23,16,24,16,23
California State University-Northridge,384,185,173,0,155,CA,1,1,2,2,11,5,66,62,69,22,25,20,77,22,0,9,9,0,5,50,22,6,6,3,85,12,2,98,1,1,83,63,40,1575,9024,0,47,61,15,43,55,6,55,1252,11,0,1263,54,24,75,379,212,315,23,611,177,0,317,93,24,37,2,46,4,95,17,460,560,440,550,16,22,15,23,16,22
California State University-Sacramento,326,117,226,0,146,CA,1,1,2,2,11,5,83,80,85,18,18,17,76,22,0,20,19,1,6,34,26,4,4,6,78,21,2,98,1,1,84,69,43,681,7381,0,49,57,15,42,54,3,54,1116,1,0,1117,40,40,78,308,161,279,19,510,138,0,291,54,27,50,7,30,3,95,19,470,570,460,560,17,23,15,23,16,23
California University of Pennsylvania,82,74,71,20,0,PA,1,1,2,2,23,3,94,94,95,25,28,24,77,21,0,1,1,0,10,4,77,2,1,4,42,31,28,91,9,0,70,29,27,850,1039,42,48,53,37,49,50,25,51,287,0,1,288,12,0,37,116,22,27,9,156,50,0,80,26,0,22,1,57,11,79,13,470,570,450,550,17,23,15,21,16,24
California University of Science and Medicine,18,9,14,1,0,CA,1,2,2,2,21,1,,,,,,,,,0,44,43,1,3,14,26,8,0,6,0,0,100,,,,,,0,47,0,0,,,,,,,,47,0,0,47,1,0,27,4,5,0,1,17,0,0,17,0,0,0,0,42,14,,,,,,,,,,,,
California Western School of Law,24,6,2,1,0,CA,1,2,2,2,11,1,,,,,,,,,0,6,5,1,3,25,42,18,2,5,100,0,0,,,,,,206,109,0,0,,,,,,,,51,0,0,51,6,2,20,16,7,23,0,35,1,0,31,3,0,39,1,43,0,,,,,,,,,,,,
Calumet College of Saint Joseph,3,7,9,4,0,IN,1,2,2,2,21,1,,,,,,,,,0,1,1,0,24,29,30,14,0,3,0,14,86,70,29,0,65,0,0,68,88,6,29,27,25,28,28,16,28,44,0,0,44,1,18,10,3,4,15,0,6,3,0,3,0,0,99,1,0,0,,,,,,,,,,,,
Calvary University,6,4,7,0,0,MO,1,2,2,2,11,1,,,,,,,,,1,5,4,1,6,3,71,10,0,3,55,29,16,15,80,5,68,40,0,13,42,7,56,62,26,41,41,,59,25,0,0,25,2,13,6,3,3,8,0,19,8,0,9,2,0,99,0,1,0,,,,,,,,,,,,
Calvin Theological Seminary,10,3,0,0,0,MI,1,2,2,2,12,1,,,,,,,,,1,7,7,0,4,8,40,9,31,0,38,13,49,,,,,,2,59,0,0,,,,,,,,14,0,0,14,0,6,5,4,3,0,0,11,0,0,10,1,0,43,8,46,0,,,,,,,,,,,,
Calvin University,116,44,34,0,0,MI,1,2,2,2,12,2,73,72,74,27,28,27,,,0,5,5,0,4,5,70,1,12,3,1,30,69,55,33,12,87,0,0,65,812,19,72,78,64,74,75,16,75,251,0,0,251,10,10,40,42,41,91,8,144,42,0,88,13,1,43,8,46,0,79,43,550,650,550,670,23,30,23,32,24,29
Cambridge College,13,1,2,0,1,MA,1,2,2,2,11,2,,,,,,,16,83,1,15,15,0,15,31,25,3,6,3,28,15,57,74,22,4,0,30,4,638,191,13,0,29,20,20,20,30,20,182,2,0,184,1,54,48,9,17,2,0,18,0,0,18,0,0,0,0,7,2,,,,,,,,,,,,
