institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
Taylor Andrews Academy-St George,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,93,14,0,-2,-2,-2,-2
Taylor Business Institute,1,1,-2,A,1,1,1,37,30,67,41,34,75,31,22,53,76,45,8,1,0,0,0,0
Taylor College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,21,1,0,0,0,0
Taylor Institute of Cosmetology II,1,1,-2,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,53,79,10,0,-2,-2,-2,-2
Taylor University,1,1,-2,A,1,1,1,594,932,1526,879,1298,2177,158,258,416,89,45,13,1,1,1,0,0
Taylortown School of Beauty Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,49,45,18,0,-2,-2,-2,-2
TDDS Technical Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,6,0,-2,-2,-2,-2
Teachers College at Columbia University,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Teachers College of San Joaquin,1,2,-2,A,1,1,3,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,0,0,1,0,0
Technical College of the Lowcountry,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,48,38,19,1,0,0,0,0
Technical College of the Rockies,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,88,7,0,-2,-2,-2,-2
Technical Learning Centers Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,45,22,0,-2,-2,-2,-2
TechSherpas 365,1,1,-2,N,1,1,6,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,-2,-2,-2,-2
Telshe Yeshiva-Chicago,1,1,-2,A,1,1,1,22,-347,22,22,0,22,22,17,22,79,45,13,0,1,1,0,0
Temple College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,42,20,1,0,0,0,0
Temple University,1,1,-2,A,1,1,1,9713,14431,24144,13802,20003,33805,1998,2862,4860,87,52,13,1,1,1,1,1
