institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Allen College,White,White,White
Allen County Community College,White,Asian,White
Allen School-Brooklyn,White,Asian,White
Allen School-Jamaica,White,Asian,White
Allen School-Phoenix,White,Asian,White
Allen University,Black,Black,White
Allgood Beauty Institute,White,Asian,White
Alliance Career Center,White,Asian,White
Alliance Computing Solutions,White,Asian,White
Alliant International University-San Diego,White,White,White
Allied Health Careers Institute,White,Asian,White
Allstate Hairstyling & Barber College,White,Asian,White
Alma College,White,Asian,White
Alpena Community College,White,Asian,White
Altierus Career College-Bissonnet,White,Asian,White
Altierus Career College-Norcross,White,Asian,White
Altierus Career College-Tampa,White,Asian,White
Altoona Beauty School Inc,White,Asian,White
Altura College,White,Asian,White
Alvernia University,White,White,White
Alverno College,White,White,White
Alvin Community College,White,Asian,White
Amarillo College,White,Asian,White
Amberton University,White,White,White
Ambria College of Nursing,Asian,Asian,White
America Evangelical University,Asian,Asian,Asian
American Academy McAllister Institute of Funeral Service,White,Asian,White
American Academy of Acupuncture and Oriental Medicine,White,White,White
American Academy of Art,White,Asian,White
American Academy of Cosmetology,White,Asian,White
American Academy of Dramatic Arts-Los Angeles,White,Asian,White
American Academy of Dramatic Arts-New York,White,Asian,White
American Academy of Health and Beauty,White,Asian,White
American Advanced Technicians Institute,White,Asian,White
American Baptist College,Black,Asian,White
American Barber and Beauty Academy,White,Asian,White
American Beauty Academy,White,Asian,White
American Beauty Academy-West Valley Campus,White,Asian,White
American Beauty College,White,Asian,White
American Beauty School,White,Asian,White
American Beauty Schools,White,Asian,White
American Business and Technology University,White,Black,White
American Career College-Anaheim,White,Asian,White
American Career College-Los Angeles,White,Asian,White
American Career College-Ontario,White,Asian,White
American College for Medical Careers,White,Asian,White
American College of Acupuncture and Oriental Med,White,White,White
American College of Barbering,White,Asian,White
American College of Barbering - Murfreesboro TN,White,Asian,White
American College of Education,White,White,White
American College of Financial Services,White,White,White
American College of Hair Design Inc,White,Asian,White
American College of Hairstyling-Des Moines,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare and Technology,White,Asian,White
American College of Healthcare Sciences,White,White,White
American College of the Building Arts,White,Asian,White
American Conservatory Theater,White,White,White
American Educational College,White,Asian,White
American Film Institute Conservatory,White,White,White
American Fitness and Nutrition Academy,White,Asian,White
American Hair Academy,White,Asian,White
American Indian OIC Inc,White,Asian,White
American Institute of Alternative Medicine,White,White,White
American Institute of Alternative Medicine,White,White,White
American Institute of Alternative Medicine,White,White,White
American Institute of Alternative Medicine,White,White,White
American Institute of Alternative Medicine,White,Asian,White
American Institute of Alternative Medicine,White,Asian,White
American Institute of Alternative Medicine,White,Asian,White
American Institute of Alternative Medicine,White,Asian,White
American Institute of Beauty,White,Asian,White
American Institute of Healthcare & Technology,White,Asian,White
American Institute of Interior Design,White,Asian,White
American Institute of Massage Therapy,White,Asian,White
American Institute of Medical Sciences & Education,White,Asian,White
American Institute-Clifton,White,Asian,White
American Institute-Somerset,White,Asian,White
American Institute-Toms River,White,Asian,White
American Institute-West Hartford,White,Asian,White
American InterContinental University,White,Black,UnknownEthnicity
American InterContinental University-Atlanta,Black,Black,White
American InterContinental University-Houston,Black,Black,White
American International College,White,White,White
American Islamic College,Asian,Asian,White
American Jewish University,White,UnknownEthnicity,White
American Massage & Bodywork Institute,White,Asian,White
American Medical Academy,Asian,Asian,White
American Medical Institute Inc.,White,Asian,White
American Medical Sciences Center,Asian,Asian,White
American Musical and Dramatic Academy,White,Asian,White
American National University,White,Black,White
American National University-Pikeville,Asian,Asian,White
American Public University System,White,White,Asian
American River College,White,Asian,White
American Samoa Community College,PacificIslander,Asian,White
American School of Nursing and Medical Careers,White,Asian,White
American Sentinel University,White,White,White
American Technical Institute,White,Asian,White
American Trade School,White,Asian,White
American University,White,White,White
American University of Health Sciences,Asian,Asian,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
American University of Puerto Rico,Hispanic,Hispanic,White
AmeriTech College-Draper,White,Asian,White
AmeriTech College-Provo,White,Asian,White
AMG School of Licensed Practical Nursing,White,Asian,White
Amherst College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Amridge University,White,Black,White
Amslee Institute,White,Asian,White
Anabaptist Mennonite Biblical Seminary,White,White,White
Ancilla College,White,Asian,White
Anderson University,White,White,White
Anderson University,White,White,White
Anderson University,White,White,White
Anderson University,White,White,White
Asbury University,White,White,White
Anderson University,White,White,White
Anderson University,White,White,White
Anderson University,White,White,White
Anderson University,White,White,White
Andrew College,White,Asian,White
Andrews University,White,Black,White
Angeles College,Asian,Asian,White
Angeles Institute,White,Asian,White
Angelina College,White,Asian,White
Angelo State University,White,White,White
Ann Webb Skin Institute,White,Asian,White
Anna Maria College,White,White,White
Anne Arundel Community College,White,Asian,White
Annenberg School of Nursing,White,Asian,White
Anoka Technical College,White,Asian,White
Anoka-Ramsey Community College,White,Asian,White
Another Level Barbering and Cosmetology School,White,Asian,White
Anousheh School of Hair,White,Asian,White
Anson College of Cosmetology,White,Asian,White
Antelope Valley College,Hispanic,Asian,White
Antilles School of Technical Careers,White,Asian,White
Antioch College,White,Asian,White
Antioch College AG,Black,Asian,White
Antioch University Online,White,Black,White
Antioch University-Los Angeles,White,White,White
Antioch University-Midwest,White,White,White
Antioch University-New England,White,White,White
Antioch University-PhD Program in Leadership and Change,White,White,White
Antioch University-Santa Barbara,White,White,White
Antioch University-Seattle,White,White,White
Antioch University-System Administration,White,Asian,White
AOMA Graduate School of Integrative Medicine,White,White,White
Aparicio-Levy Technical College,White,Asian,White
Apex Academy Hair Skin Nails School of Cosmetology,White,Asian,White
Apex College of Veterinary Technology,White,Asian,White
Apex Technical School,White,Asian,White
Apollo Career Center,White,Asian,White
Appalachian Beauty School,White,Asian,White
Appalachian Bible College,White,White,White
Appalachian College of Pharmacy,White,Asian,White
Appalachian School of Law,White,White,White
Asher College,White,Asian,White
Appalachian State University,White,White,White
