institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Cerritos College,White,Asian,White
Cerro Coso Community College,White,Asian,White
CES College,White,Asian,White
CET-Alexandria,White,Asian,White
CET-Coachella,White,Asian,White
CET-Colton,White,Asian,White
CET-El Centro,White,Asian,White
CET-El Paso,White,Asian,White
CET-Oxnard,White,Asian,White
CET-Salinas,White,Asian,White
CET-San Diego,White,Asian,White
CET-San Jose,White,Asian,White
CET-Santa Maria,White,Asian,White
CET-Soledad,White,Asian,White
CET-Watsonville,White,Asian,White
Chabot College,White,Asian,White
Chadron State College,White,White,White
Chaffey College,White,Asian,White
Chamberlain University-Administrative Office,White,Asian,White
Chamberlain University-Arizona,White,Asian,White
Chamberlain University-California,White,Asian,White
Chamberlain University-Florida,Black,Asian,White
Chamberlain University-Georgia,Black,Asian,White
Chamberlain University-Illinois,White,White,White
Chamberlain University-Indiana,White,Asian,White
Chamberlain University-Louisiana,Asian,Asian,White
Chamberlain University-Michigan,White,Asian,White
Chamberlain University-Missouri,White,Asian,White
Chamberlain University-Nevada,White,Asian,White
Chamberlain University-New Jersey,White,Asian,White
Chamberlain University-North Carolina,White,Asian,White
Chamberlain University-Ohio,White,Asian,White
Chamberlain University-Texas,Black,Asian,White
Chamberlain University-Virginia,Black,Asian,White
Chambersburg Beauty School,White,Asian,White
Chaminade University of Honolulu,Asian,Asian,White
Champ's Barber School,White,Asian,White
Champion Beauty College,White,Asian,White
Champion Christian College,White,Asian,White
Champlain College,White,White,White
Charter College,White,Asian,White
Chandler-Gilbert Community College,White,Asian,White
Chapman University,White,White,White
Charles A Jones Career and Education Center,White,Asian,White
Charles and Sues School of Hair Design,White,Asian,White
Charles H McCann Technical School,White,Asian,White
Charles of Italy Beauty College,White,Asian,White
Charles R Drew University of Medicine and Science,Black,Black,White
Charles Stuart School of Diamond Setting,White,Asian,White
Charleston Cosmetology Institute,White,Asian,White
Charleston School of Beauty Culture,White,Asian,White
Charleston School of Law,White,Asian,White
Charleston Southern University,White,White,White
Charlie's Guard-Detective Bureau and Academy Inc,White,Asian,White
Charlotte Christian College and Theological Seminary,Black,Black,White
Charlotte Technical College,White,Asian,White
Charter Oak State College,White,White,White
Charzanne Beauty College,White,Asian,White
Chatfield College,White,Asian,White
Chatham University,White,White,White
Chattahoochee Technical College,White,Asian,White
Clark College,White,Asian,White
Chattahoochee Valley Community College,White,Asian,White
Chattanooga College Medical Dental and Technical Careers,White,Asian,White
Chattanooga State Community College,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Cheeks Beauty Academy,White,Asian,White
Chemeketa Community College,White,Asian,White
Chesapeake College,White,Asian,White
Chester Career College,White,Asian,White
Chester County Intermediate Unit,White,Asian,White
Chestnut Hill College,White,White,White
Coba Academy,White,Asian,White
Cheyney University of Pennsylvania,Black,Asian,White
CHI Health School of Radiologic Technology,White,Asian,White
Chicago Professional Center,White,Asian,White
Chicago School of Professional Psychology - College of Nursing,Asian,Asian,White
Chicago School of Professional Psychology at Dallas,White,Asian,Asian
Chicago State University,Black,Black,Black
Chicago Theological Seminary,White,White,Asian
Chief Dull Knife College,White,Asian,White
Chipola College,White,Asian,White
Chippewa Valley Technical College,White,Asian,White
Chisholm Trail Technology Center,White,Asian,White
Choffin Career  and Technical Center,White,Asian,White
Chowan University,Black,Asian,White
Chris Beauty College,White,Asian,White
Christ Mission College,Hispanic,Asian,White
Christ the King Seminary,White,White,White
Christian Brothers University,White,White,White
Christian Culinary Academy,White,Asian,White
Christian Theological Seminary,White,White,Asian
Christie's Education,White,White,White
Christina and Company Education Center,White,Asian,White
Christine Valmy International School for Esthetics  Skin Care & Makeup,White,Asian,White
Christine Valmy International School of Esthetics & Cosmetology,White,Asian,White
Christopher Newport University,White,White,White
Church Divinity School of the Pacific,White,White,White
Cincinnati College of Mortuary Science,White,Asian,White
Cincinnati School of Barbering & Hair Design,White,Asian,White
Cincinnati State Technical and Community College,White,Asian,White
Cinta Aveda Institute,White,Asian,White
Circle in the Square Theatre School,White,Asian,White
Cisco College,White,Asian,White
Citadel Military College of South Carolina,White,White,White
Citizens School of Nursing,White,Asian,White
Citrus College,White,Asian,White
Citrus Heights Beauty College,White,Asian,White
City College of San Francisco,White,Asian,White
City College-Altamonte Springs,White,Asian,White
City College-Fort Lauderdale,Black,Asian,White
City College-Gainesville,Black,Asian,White
City College-Hollywood,White,Asian,White
City College-Miami,Hispanic,Asian,White
College of Marin,White,Asian,White
City Colleges of Chicago-District Office,White,Asian,White
City Colleges of Chicago-Harold Washington College,White,Asian,White
City Colleges of Chicago-Harry S Truman College,White,Asian,White
City Colleges of Chicago-Kennedy-King College,White,Asian,White
City Colleges of Chicago-Malcolm X College,White,Asian,White
City Colleges of Chicago-Olive-Harvey College,White,Asian,White
City Colleges of Chicago-Richard J Daley College,White,Asian,White
City Colleges of Chicago-Wilbur Wright College,White,Asian,White
City Pointe Beauty Academy,White,Asian,White
City University of Seattle,White,White,White
City Vision University,White,White,White
Clackamas Community College,White,Asian,White
Claflin University,Black,Black,White
Claremont Graduate University,White,White,White
Claremont Lincoln University,White,White,White
Claremont McKenna College,White,White,White
Claremont School of Theology,White,White,White
Clarendon College,White,Asian,White
Clarion University of Pennsylvania,White,White,White
Clark Atlanta University,Black,Black,Black
Clark State Community College,Asian,Asian,White
Clark University,White,White,White
Clarke University,White,White,White
Clarks Summit University,White,White,White
Clarksburg Beauty Academy and School of Massage Therapy,White,Asian,White
Clarkson College,White,White,Asian
Clarkson University,White,White,White
Clary Sage College,White,Asian,White
Clatsop Community College,White,Asian,White
Clayton  State University,Black,Black,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Clear Creek Baptist Bible College,White,Asian,White
Clearfield County Career and Technology Center,White,Asian,White
Cleary University,White,White,White
Clemson University,White,White,White
Cleveland Clinic Health System-School of Diagnostic Imaging,White,Asian,White
Cleveland Community College,White,Asian,White
Cleveland Institute of Art,White,Asian,White
Cleveland Institute of Music,White,White,White
Cleveland State Community College,White,Asian,White
Cleveland State University,White,White,White
Cleveland University-Kansas City,White,Asian,White
Clinton College,Black,Asian,White
Clinton Community College,White,Asian,White
Clinton Essex Warren Washington BOCES,White,Asian,White
Clinton Technical School,White,Asian,White
Cloud County Community College,White,Asian,White
Clover Park Technical College,White,Asian,White
Clovis Adult Education,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Clovis Community College,White,Asian,White
Cloyd's Barber School 2 Inc,White,Asian,White
Cloyd's Beauty School 1 Inc,White,Asian,White
Cloyd's Beauty School 3 Inc,White,Asian,White
Coachella Valley Beauty College,White,Asian,White
Coachella Valley Beauty College-Hemet,White,Asian,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Coahoma Community College,White,Asian,White
Coast Community College District Office,White,Asian,White
Coastal Alabama Community College,White,Asian,White
Coastal Bend College,White,Asian,White
Coastal Carolina Community College,White,Asian,White
Coastal Carolina University,White,White,White
Coastal Pines Technical College,White,Asian,White
Coastline Beauty College,White,Asian,White
Coastline Beauty College - Hemet,White,Asian,White
Coastline Community College,White,Asian,White
Cochise County Community College District,White,Asian,White
Cochran School of Nursing,White,Asian,White
Coconino Community College,White,Asian,White
Coe College,White,Asian,White
Coffeyville Community College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Cogswell University of Silicon Valley,Asian,Hispanic,White
Coker University,White,White,White
Colby College,White,Asian,White
Colby Community College,White,Asian,White
Colby-Sawyer College,White,Asian,White
College of Biblical Studies-Houston,Black,Asian,White
Colegio de Cinematografía Artes y Television,White,Asian,White
Colegio Educativo Tecnologico Industrial Inc,White,Asian,White
Colegio Mayor de Tecnologia Inc,White,Asian,White
Colegio Tecnico de Electricidad Galloza,White,Asian,White
Colegio Universitario de San Juan,Hispanic,Asian,White
Colgate Rochester Crozer Divinity School,White,White,White
Colgate University,White,White,White
Collectiv Academy,White,Asian,White
Colleen O'Haras Beauty Academy,White,Asian,White
College for Creative Studies,White,White,White
College of Alameda,White,Asian,White
College of Business and Technology-Cutler Bay,White,Asian,White
College of Business and Technology-Hialeah,White,Asian,White
College of Business and Technology-Main Campus,White,Asian,White
College of Central Florida,White,Asian,White
College of Charleston,White,White,White
College of Coastal Georgia,White,Asian,White
College of Cosmetology,White,Asian,White
College of Court Reporting Inc,White,Asian,White
College of DuPage,White,Asian,White
College of Eastern Idaho,White,Asian,White
College of Hair Design Careers,White,Asian,White
College of Hair Design-Downtown,White,Asian,White
College of Hair Design-East Campus,White,Asian,White
College of Health Care Professions (The),White,Asian,White
College of International Esthetics Inc,White,Asian,White
College of Lake County,White,Asian,White
College of Massage Therapy,White,Asian,White
College of Menominee Nation,NativeAmerican,Asian,White
College of Micronesia-FSM,PacificIslander,Asian,White
College of Mount Saint Vincent,Hispanic,Hispanic,White
College of Our Lady of the Elms,White,UnknownEthnicity,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
Columbia College,White,Asian,White
College of Saint Benedict,White,Asian,White
College of Saint Mary,White,White,White
College of San Mateo,White,Asian,White
College of Southern Idaho,Asian,Asian,White
College of Southern Maryland,White,Asian,White
Columbia Institute,White,Asian,White
College of Southern Nevada,White,Asian,White
College of Staten Island CUNY,White,White,Asian
College of the Albemarle,White,Asian,White
College of the Atlantic,White,White,White
College of the Canyons,White,Asian,White
College of the Desert,White,Asian,White
College of the Holy Cross,White,Asian,White
College of the Mainland,White,Asian,White
College of the Marshall Islands,PacificIslander,Asian,White
College of the Muscogee Nation,White,Asian,White
College of the Ozarks,White,Asian,White
College of the Redwoods,White,Asian,White
College of the Sequoias,White,Asian,White
College of the Siskiyous,White,Asian,White
College of Western Idaho,White,Asian,White
College of Wilmington,White,Asian,White
College Unbound,White,Asian,White
CollegeAmerica-Colorado Springs,White,Asian,White
CollegeAmerica-Denver,White,Asian,White
CollegeAmerica-Flagstaff,White,Asian,White
CollegeAmerica-Fort Collins,White,Asian,White
Collin County Community College District,Asian,Asian,White
Compass Career College,White,Asian,White
Colorado Academy of Veterinary Technology,White,Asian,White
Colorado Christian University,White,White,White
Colorado College,White,White,White
Colorado Media School,White,Asian,White
Colorado Mesa University,White,White,White
Concordia College,White,White,White
Colorado Mountain College,White,Asian,White
Colorado Northwestern Community College,White,Asian,White
Colorado School of Healing Arts,White,Asian,White
Colorado School of Mines,White,White,White
Colorado School of Trades,White,Asian,White
Colorado School of Traditional Chinese Medicine,White,White,White
Colorado State University Pueblo,White,White,White
Colorado State University-Fort Collins,White,White,White
Colorado State University-Global Campus,White,White,White
Colorado State University-System Office,White,Asian,White
Colorado Technical University-Colorado Springs,White,White,White
Columbia Basin College,White,Asian,White
Columbia Central University-Caguas,Hispanic,Hispanic,White
Columbia Central University-Yauco,Hispanic,Asian,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College,White,White,White
Columbia College - Eastfield Pleasant Grove,White,Asian,White
Columbia College - Fort Leonard Wood 58th Trans BN,White,Asian,White
Columbia College - Minot AFB,White,Asian,White
Columbia College - Springfield TMobile,White,Asian,White
Columbia College - Tavares PD,White,Asian,White
Columbia College - USCG Base Honolulu,White,Asian,White
Columbia College Chicago,White,White,White
Columbia College Hollywood,White,Asian,White
Columbia College of Nursing,White,White,White
Columbia Gorge Community College,White,Asian,White
Columbia International University,White,White,White
Columbia Southern University,White,White,Black
Columbia State Community College,White,Asian,White
Columbia Theological Seminary,White,White,Black
Columbia University in the City of New York,White,White,White
Columbia-Greene Community College,White,Asian,White
Columbiana County Career and Technical Center,White,Asian,White
Columbus College of Art and Design,White,White,White
Columbus State Community College,White,Asian,White
Columbus State University,White,White,White
Columbus Technical College,White,Asian,White
Commercial Divers International,White,Asian,White
Commonwealth Institute of Funeral Service,White,Asian,White
Commonwealth Technical Institute,White,Asian,White
Community Care College,White,Asian,White
Community Christian College,White,Asian,White
Community College of Allegheny County,White,Asian,White
Community College of Aurora,White,Asian,White
Community College of Baltimore County,White,Asian,White
Community College of Beaver County,White,Asian,White
Community College of Denver,White,Asian,White
Community College of Philadelphia,White,Asian,White
Community College of Rhode Island,White,Asian,White
Community College of Vermont,White,Asian,White
Community Technology Learning Center of Portage,White,Asian,White
Compass College of Cinematic Arts,White,Asian,White
Compton College,White,Asian,White
Compu-Med Vocational Careers Corp,White,Asian,White
Conception Seminary College,White,Asian,White
Concord University,White,White,White
Concorde Career College-Aurora,White,Asian,White
Concorde Career College-Dallas,White,Asian,White
Concorde Career College-Garden Grove,White,Asian,White
Concorde Career College-Grand Prairie,White,Asian,White
Concorde Career College-Kansas City,Black,Asian,White
Concorde Career College-Memphis,White,Asian,White
Concorde Career College-North Hollywood,White,Asian,White
Concorde Career College-Portland,White,Asian,White
Concorde Career College-San Antonio,White,Asian,White
Concorde Career College-San Bernardino,White,Asian,White
Concorde Career College-San Diego,White,Asian,White
Concorde Career College-Southaven,White,Asian,White
Concorde Career Institute-Jacksonville,White,Asian,White
Concorde Career Institute-Miramar,White,Asian,White
Concorde Career Institute-Orlando,White,Asian,White
Concorde Career Institute-Tampa,White,Asian,White
Concordia College at Moorhead,White,White,White
Concordia Seminary,White,White,White
Concordia Theological Seminary,White,White,White
Concordia University Texas,White,White,Hispanic
Concordia University-Ann Arbor,White,White,White
Concordia University-Chicago,White,White,White
Concordia University-Irvine,White,White,White
Concordia University-Nebraska,White,White,White
Concordia University-Portland,White,Asian,White
Concordia University-Saint Paul,White,White,White
Concordia University-Wisconsin,White,White,White
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,White,Asian,White
Connecticut College,White,Asian,White
Connors State College,White,Asian,White
Conservatory of Music of Puerto Rico,Hispanic,Hispanic,White
Conservatory of Recording Arts and Sciences,White,Asian,White
Construction Training Center,White,Asian,White
Continental Academie of Hair Design-Hudson,White,Asian,White
Continental School of Beauty Culture-Mattydale,White,Asian,White
Continental School of Beauty Culture-Olean,White,Asian,White
Continental School of Beauty Culture-Rochester,White,Asian,White
Continental School of Beauty Culture-West Seneca,White,Asian,White
Contra Costa College,White,Asian,White
Contra Costa Community College District Office,White,Asian,White
Contra Costa Medical Career College,White,Asian,White
Converse College,White,White,Asian
Conway School of Landscape Design,White,White,White
Cooper Union for the Advancement of Science and Art,White,Asian,White
Copiah-Lincoln Community College,White,Asian,White
Copper Mountain Community College,White,Asian,White
Coppin State University,Black,Black,White
Corban University,White,White,White
Corinth Academy of Cosmetology,White,Asian,White
Cornell College,White,Asian,White
Cornell University,White,White,White
Cornerstone University,White,White,White
Cornish College of the Arts,White,Asian,White
Cortiva Institute-Arlington,White,Asian,White
Cortiva Institute-Baltimore,White,Asian,White
Cortiva Institute-Cromwell,White,Asian,White
Cortiva Institute-Florida,White,Asian,White
Cortiva Institute-King of Prussia,White,Asian,White
Cortiva Institute-Maitland,White,Asian,White
Cortiva Institute-Pompano,White,Asian,White
Cosmetology & Spa Academy,White,Asian,White
Cosmetology Academy of Texarkana,White,Asian,White
Cosmetology Career Center LLC,White,Asian,White
Cozmo Beauty School,White,Asian,White
Cosmetology Careers Unlimited College of Hair Skin and Nails,White,Asian,White
Cosmetology Concepts Niles,White,Asian,White
Cosmetology School of Arts and Science LLC,White,Asian,White
Cosmetology Training Center,White,Asian,White
Cosmo Beauty Academy,White,Asian,White
Cossatot Community College of the University of Arkansas,White,Asian,White
Cosumnes River College,White,Asian,White
Cottey College,White,Asian,White
County College of Morris,White,Asian,White
Covenant College,White,White,White
Covenant School of Nursing and Allied Health,White,Asian,White
Covenant Theological Seminary,White,White,White
Cowley County Community College,White,Asian,White
Cox College,White,White,White
Coyne College,White,Asian,White
Crafton Hills College,White,Asian,White
Cranbrook Academy of Art,White,White,White
Crave Beauty Academy,White,Asian,White
Craven Community College,White,Asian,White
Crawford County Career and Technical Center Practical Nursing Program,White,Asian,White
Creative Hair School of Cosmetology,White,Asian,White
Creative Images Institute of Cosmetology-North Dayton,White,Asian,White
Creative Images Institute of Cosmetology-South Dayton,White,Asian,White
Creative Touch Cosmetology School,White,Asian,White
Creighton University,White,White,White
Crescent City Bartending School,White,Asian,White
Crevier's Academy of Cosmetology Arts,White,Asian,White
Criswell College,White,White,White
Crowder College,White,Asian,White
Crowley's Ridge College,White,Asian,White
Crown College,White,White,White
CRU Institute of Cosmetology and Barbering,White,Asian,White
CT Aero Tech School,White,Asian,White
Cuesta College,White,Asian,White
Culinary Institute Inc,White,Asian,White
Culinary Institute of America,White,White,White
Culinary Tech Center,White,Asian,White
Culpeper Cosmetology Training Center,White,Asian,White
Culver-Stockton College,White,White,White
Cumberland County College,White,Asian,White
Cumberland University,White,White,White
CUNY Bernard M Baruch College,Asian,White,Asian
CUNY Borough of Manhattan Community College,White,Asian,White
CUNY Bronx Community College,White,Asian,White
CUNY Brooklyn College,White,White,White
CUNY City College,Hispanic,White,White
CUNY Graduate School and University Center,Hispanic,White,White
CUNY Hostos Community College,White,Asian,White
CUNY Hunter College,Hispanic,White,Asian
CUNY John Jay College of Criminal Justice,Hispanic,White,White
CUNY Kingsborough Community College,White,Asian,White
CUNY LaGuardia Community College,White,Asian,White
CUNY Lehman College,Hispanic,Hispanic,White
CUNY Medgar Evers College,Black,Asian,White
CUNY New York City College of Technology,Hispanic,Asian,White
CUNY Queens College,Hispanic,White,White
CUNY Queensborough Community College,White,Asian,White
CUNY School of Law,White,Asian,White
CUNY Stella and Charles Guttman Community College,White,Asian,White
CUNY System Office,White,Asian,White
CUNY York College,Black,White,White
Curry College,White,White,White
Curtis Institute of Music,White,White,White
Curve Metric School of Hair Design,White,Asian,White
Cutting Edge Academy,White,Asian,White
Cuyahoga Community College District,White,Asian,White
Cuyahoga Valley Career Center,White,Asian,White
Cuyamaca College,White,Asian,White
CVPH Medical Center School of Radiologic Technology,White,Asian,White
CyberTex Institute of Technology,White,Asian,White
Cypress College,White,Asian,White
Cyrus The Great International Online University,White,Asian,White
D A Dorsey Technical College,White,Asian,White
D&S School of Cosmetology,White,Asian,White
D'Jay's Institute of Cosmetology and Esthiology,White,Asian,White
D'Mart Institute,White,Asian,White
D'Youville College,White,White,White
Dabney S Lancaster Community College,White,Asian,White
Daemen College,White,White,White
Dakota College at Bottineau,White,Asian,White
Dakota County Technical College,White,Asian,White
Dakota State University,White,White,White
Dakota Wesleyan University,White,White,White
Davis College,White,Asian,White
Davis College,White,Asian,White
Davis College,White,Asian,White
Davis College,White,Asian,White
Dallas Baptist University,White,White,White
Dallas Barber & Stylist College,White,Asian,White
Dallas Christian College,White,Asian,White
Dallas College,White,Asian,White
Dallas County Community College District,White,Asian,White
Dallas Institute of Funeral Service,White,Asian,White
Dallas Theological Seminary,White,White,White
Dalton Institute of Esthetics and Cosmetology,White,Asian,White
Dalton State College,White,Asian,White
Daniel Morgan Graduate School of National Security,White,Asian,White
Danville Area Community College,White,Asian,White
Danville Community College,White,Asian,White
Daoist Traditions College of Chinese Medical Arts,White,White,White
Dartmouth College,White,White,White
Davenport University,White,White,White
David Pressley School of Cosmetology,White,Asian,White
Davidson College,White,Asian,White
Davidson County Community College,White,Asian,White
Davines Professional Academy of Beauty and Business,White,Asian,White
Davis & Elkins College,White,Asian,White
Davis College,White,Asian,White
Davis College,White,Asian,White
Davis College,White,Asian,White
Davis College,White,Asian,White
Davis Technical College,White,Asian,White
Dawn Career Institute LLC,White,Asian,White
Dawson Community College,White,Asian,White
Dayton Barber College,White,Asian,White
Dayton School of Medical Massage,White,Asian,White
Daytona College,Asian,Asian,White
Daytona State College,White,Asian,White
DCI Career Institute,White,Asian,White
De Anza College,White,Asian,White
Dean College,White,Asian,White
Debutantes School of Cosmetology and Nail Technology,White,Asian,White
Defiance College,White,White,White
DeHart Technical School,White,Asian,White
Del Mar College,White,Asian,White
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,White,Asian,White
Delaware College of Art and Design,White,Asian,White
Delaware County Community College,White,Asian,White
Delaware County Technical School-Practical Nursing Program,White,Asian,White
Delaware Learning Institute of Cosmetology,White,Asian,White
Delaware State University,Black,Black,Black
Delaware Technical Community College-Central Office,White,Asian,White
Delaware Technical Community College-Terry,White,Asian,White
Delaware Valley University,White,White,White
Delgado Community College,White,Asian,White
Dell'Arte International School of Physical Theatre,White,White,White
Delmarva Beauty Academy,White,Asian,White
Delta Beauty College,White,Asian,White
Delta College,White,Asian,White
Delta College Inc,White,Asian,White
Delta College of Arts & Technology,White,Asian,White
Delta College of Arts & Technology-Lafayette Campus,White,Asian,White
Delta College-Slidell Campus,White,Asian,White
Delta Designs Cosmetology School,White,Asian,White
Delta State University,White,White,White
Delta Technical College,White,Asian,White
Deluxe Barber College,White,Asian,White
Denham Springs Beauty School,White,Asian,White
Denison University,White,Asian,White
Denmark College,White,Asian,White
Denmark Technical College,White,Asian,White
Dental Assistant Pro LLC-Columbus,White,Asian,White
Dental Assistant Pro-Lebanon,White,Asian,White
Denver College of Nursing,White,UnknownEthnicity,White
Denver Seminary,White,White,White
DePaul University,White,White,White
DePauw University,White,Asian,White
Derech Hachaim Seminary,White,Asian,White
Dermal Science International Aesthetics and Nail Academy,White,Asian,White
Des Moines Area Community College,White,Asian,White
Des Moines University-Osteopathic Medical Center,White,White,White
DeSales University,White,White,White
Design Institute of San Diego,White,Asian,White
Design's School of Cosmetology,White,Asian,White
Designer Barber & Stylist School,White,Asian,White
Detroit Business Institute-Downriver,White,Asian,White
DeVry College of New York,White,Asian,White
DeVry University-Administrative Office,White,Asian,White
DeVry University-Arizona,White,White,White
DeVry University-California,Hispanic,Asian,White
DeVry University-Colorado,White,White,White
DeVry University-Florida,White,Hispanic,White
DeVry University-Georgia,Black,Black,White
DeVry University-Illinois,White,White,White
DeVry University-Indiana,White,Black,White
Dickinson College,White,Asian,White
DeVry University-Missouri,White,White,White
DeVry University-Nevada,Asian,White,White
DeVry University-New Jersey,White,Asian,White
DeVry University-North Carolina,White,Black,White
DeVry University-Ohio,White,White,White
Dine College,NativeAmerican,Asian,White
DeVry University-Pennsylvania,White,White,White
DeVry University-Tennessee,White,White,White
DeVry University-Texas,Hispanic,White,White
DeVry University-Virginia,White,White,White
Dewey University-Carolina,Hispanic,Asian,White
Divine Word College,Black,Asian,White
Dewey University-Hato Rey,Hispanic,Hispanic,White
Dewey University-Juana Díaz,Hispanic,Asian,White
Dewey University-Manati,Hispanic,Asian,White
Diablo Valley College,White,Asian,White
Diamond Beauty College,White,Asian,White
Diamonds Cosmetology College,White,Asian,White
Dickinson State University,White,White,White
Diesel Driving Academy-Baton Rouge,White,Asian,White
Diesel Driving Academy-Shreveport,White,Asian,White
DigiPen Institute of Technology,UnknownEthnicity,White,White
Digital Film Academy,White,Asian,White
Digital Film Academy - Atlanta,White,Asian,White
Digital Media Institute at InterTech,White,Asian,White
DiGrigoli School of Cosmetology,White,Asian,White
Dillard University,Black,Asian,White
Diman Regional Technical Institute,White,Asian,White
Divers Academy International,White,Asian,White
Divers Institute of Technology,White,Asian,White
Diversified Vocational College,White,Asian,White
Divine Crown Barber & Beauty Academy,White,Asian,White
Divine Mercy University,White,White,White
Dixie State University,White,White,White
Dixie Technical College,White,Asian,White
DLP Conemaugh Memorial Medical Center,White,Asian,White
Doane University,White,White,White
Dodge City Community College,White,Asian,White
Dolce LLC The Academy,White,Asian,White
Dominican College of Blauvelt,White,White,White
Dominican School of Philosophy & Theology,White,Asian,White
Dominican University,Hispanic,White,White
Dominican University of California,White,White,White
Don Roberts School of Hair Design,White,Asian,White
Dongguk University Los Angeles,White,Asian,White
Donnelly College,Hispanic,Asian,White
Dordt University,White,White,White
Dorsey School of Business,White,Asian,White
Dorsey School of Business-Dearborn,White,Asian,White
Dorsey School of Business-Madison Heights,White,Asian,White
Dorsey School of Business-Roseville,White,Asian,White
Dorsey School of Business-Roseville Culinary Academy,White,Asian,White
Dorsey School of Business-Saginaw,White,Asian,White
Dorsey School of Business-Waterford Pontiac,White,Asian,White
Dorsey School of Business-Wayne,White,Asian,White
Dorsey School of Business-Woodhaven Campus,White,Asian,White
Douglas Education Center,White,Asian,White
Douglas J Aveda Institute,White,Asian,White
Downey Adult School,White,Asian,White
Dr. Ida Rolf Institute,White,Asian,White
Dragon Rises College of Oriental Medicine,White,White,White
Drake University,White,White,White
Drew University,White,White,White
Drexel University,White,White,White
Drury University,White,White,White
Drury University-College of Continuing Professional Studies,White,Asian,White
DSDT,White,Asian,White
Duke University,White,White,White
Dunwoody College of Technology,White,Asian,White
Duquesne University,White,White,White
