institution,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Brittany Beauty Academy,455,625,502,661,22,22,23,27,22,24
Broadview University-West Jordan,455,625,502,661,22,22,23,27,22,24
Broken Arrow Beauty College,455,625,502,661,22,22,23,27,22,24
Brookdale Community College,455,625,502,661,22,22,23,27,22,24
Brookhaven College,455,625,502,661,22,22,23,27,22,24
Brookline College-Albuquerque,455,625,502,661,22,22,23,27,22,24
Brookline College-Phoenix,455,625,502,661,22,22,23,27,22,24
Brookline College-Tempe,455,625,502,661,22,22,23,27,22,24
Brookline College-Tucson,455,625,502,661,22,22,23,27,22,24
Brooklyn Law School,455,625,502,661,22,22,23,27,22,24
Broome Delaware Tioga BOCES-Practical Nursing Program,455,625,502,661,22,22,23,27,22,24
Broward College,455,625,502,661,22,22,23,27,22,24
Brown Aveda Institute-Mentor,455,625,502,661,22,22,23,27,22,24
Brown Aveda Institute-Strongsville,455,625,502,661,22,22,23,27,22,24
Brown Beauty Barber School,455,625,502,661,22,22,23,27,22,24
Brown College of Court Reporting,455,625,502,661,22,22,23,27,22,24
Brown University,710,770,730,790,33,35,34,36,30,35
Brownson Technical School,455,625,502,661,22,22,23,27,22,24
Brunswick Community College,455,625,502,661,22,22,23,27,22,24
Bryan College of Health Sciences,455,625,502,661,22,22,23,27,22,24
Bryan College-Dayton,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryan University,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Albany,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Buffalo,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Greece,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Online,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Parma,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Syracuse North,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Virginia Beach,455,625,502,661,22,22,23,27,22,24
Bryant & Stratton College-Wauwatosa,455,625,502,661,22,22,23,27,22,24
Bryant University,560,630,560,650,25,30,23,27,22,24
Bryn Athyn College of the New Church,470,620,460,578,19,24,17,24,16,26
Bryn Mawr College,455,625,502,661,22,22,23,27,22,24
Buckeye Hills Career Center,455,625,502,661,22,22,23,27,22,24
Buckeye Joint Vocational School,455,625,502,661,22,22,23,27,22,24
Bucknell University,620,700,630,730,28,32,29,34,26,30
Buckner Barber School,455,625,502,661,22,22,23,27,22,24
Bucks County Community College,455,625,502,661,22,22,23,27,22,24
Bushnell University,520,595,495,585,16,25,15,23,16,25
Bucks County School of Beauty Culture Inc,455,625,502,661,22,22,23,27,22,24
Buena Vista University,455,625,502,661,22,22,23,27,22,24
Bull City Durham Beauty and Barber College,455,625,502,661,22,22,23,27,22,24
Bunker Hill Community College,455,625,502,661,22,22,23,27,22,24
Burrell College of Osteopathic Medicine,455,625,502,661,22,22,23,27,22,24
Butler Beauty Academy,455,625,502,661,22,22,23,27,22,24
Butler Beauty Academy-Kittanning Beauty Academy,455,625,502,661,22,22,23,27,22,24
Butler Beauty Academy-New Castle Beauty Academy,455,625,502,661,22,22,23,27,22,24
Butler Community College,455,625,502,661,22,22,23,27,22,24
Butler County Community College,455,625,502,661,22,22,23,27,22,24
Butler Technology and Career Development Schools,455,625,502,661,22,22,23,27,22,24
Butler University,580,660,570,660,25,30,24,31,24,29
Butte Academy of Beauty Culture,455,625,502,661,22,22,23,27,22,24
Butte College,455,625,502,661,22,22,23,27,22,24
Butte County Regional Occupational Program,455,625,502,661,22,22,23,27,22,24
Byzantine Catholic Seminary of Saints Cyril and Methodius,455,625,502,661,22,22,23,27,22,24
CAAN Academy of Nursing,455,625,502,661,22,22,23,27,22,24
Cabarrus College of Health Sciences,505,555,485,530,17,22,15,22,17,21
Cabell County Career Technology Center,455,625,502,661,22,22,23,27,22,24
Cabrillo College,455,625,502,661,22,22,23,27,22,24
Cabrini University,480,570,460,555,17,24,16,23,15,22
Caddo Kiowa Technology Center,455,625,502,661,22,22,23,27,22,24
Cadillac Institute of Cosmetology,455,625,502,661,22,22,23,27,22,24
Cairn University-Langhorne,455,625,502,661,22,22,23,27,22,24
CALC Institute of Technology,455,625,502,661,22,22,23,27,22,24
Caldwell Community College and Technical Institute,455,625,502,661,22,22,23,27,22,24
Caldwell University,460,560,460,550,16,23,15,22,16,24
California Aeronautical University,455,625,502,661,22,22,23,27,22,24
California Arts University,455,625,502,661,22,22,23,27,22,24
California Baptist University,480,580,480,570,18,25,18,24,17,25
California Barber and Beauty College,455,625,502,661,22,22,23,27,22,24
California Beauty School,455,625,502,661,22,22,23,27,22,24
California Career College,455,625,502,661,22,22,23,27,22,24
California Career Institute,455,625,502,661,22,22,23,27,22,24
California Career School,455,625,502,661,22,22,23,27,22,24
Capstone College,455,625,502,661,22,22,23,27,22,24
California Christian College,455,625,502,661,22,22,23,27,22,24
California College of Barbering and Cosmetology,455,625,502,661,22,22,23,27,22,24
California College of the Arts,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego,455,625,502,661,22,22,23,27,22,24
California College San Diego-CollegeAmerica-Phoenix,455,625,502,661,22,22,23,27,22,24
California Hair Design Academy,455,625,502,661,22,22,23,27,22,24
California Healing Arts College,455,625,502,661,22,22,23,27,22,24
California Health Sciences University,455,625,502,661,22,22,23,27,22,24
California Indian Nations College,455,625,502,661,22,22,23,27,22,24
California Institute of Advanced Management,455,625,502,661,22,22,23,27,22,24
California Institute of Arts & Technology,455,625,502,661,22,22,23,27,22,24
California Institute of Arts & Technology-National City,455,625,502,661,22,22,23,27,22,24
California Institute of Integral Studies,455,625,502,661,22,22,23,27,22,24
California Institute of Medical Science,455,625,502,661,22,22,23,27,22,24
California Institute of Technology,740,780,790,800,35,36,35,36,35,36
California Institute of the Arts,455,625,502,661,22,22,23,27,22,24
California Intercontinental University,455,625,502,661,22,22,23,27,22,24
California International Business University,455,625,502,661,22,22,23,27,22,24
California Jazz Conservatory,455,625,502,661,22,22,23,27,22,24
California Lutheran University,540,620,530,620,20,27,20,27,18,26
California Miramar University,455,625,502,661,22,22,23,27,22,24
California Nurses Educational Institute,455,625,502,661,22,22,23,27,22,24
California Polytechnic State University-San Luis Obispo,610,690,610,720,26,32,25,34,26,31
California State Polytechnic University-Pomona,500,610,510,640,19,27,18,26,18,27
California State University Maritime Academy,455,625,502,661,22,22,23,27,22,24
California State University-Bakersfield,455,625,502,661,22,22,23,27,22,24
California State University-Chancellors Office,455,625,502,661,22,22,23,27,22,24
California State University-Channel Islands,455,625,502,661,22,22,23,27,22,24
California State University-Chico,490,590,480,580,18,24,16,24,17,24
California State University-Dominguez Hills,455,625,502,661,22,22,23,27,22,24
California State University-East Bay,455,625,502,661,22,22,23,27,22,24
California State University-Fresno,450,560,440,540,16,21,14,21,16,21
California State University-Fullerton,500,590,500,590,18,23,17,23,17,24
California State University-Long Beach,510,620,510,620,20,26,19,26,18,26
California State University-Los Angeles,440,530,430,530,15,20,14,21,16,20
California State University-Monterey Bay,480,590,480,570,17,23,16,24,16,23
California State University-Northridge,460,560,440,550,16,22,15,23,16,22
California State University-Sacramento,470,570,460,560,17,23,15,23,16,23
California State University-San Bernardino,460,540,450,540,15,20,14,20,16,20
California State University-San Marcos,480,570,470,560,17,22,15,22,16,22
California State University-Stanislaus,455,625,502,661,22,22,23,27,22,24
California Technical Academy,455,625,502,661,22,22,23,27,22,24
California University of Pennsylvania,470,570,450,550,17,23,15,21,16,24
California University of Science and Medicine,455,625,502,661,22,22,23,27,22,24
California Western School of Law,455,625,502,661,22,22,23,27,22,24
Calumet College of Saint Joseph,455,625,502,661,22,22,23,27,22,24
Calvary University,455,625,502,661,22,22,23,27,22,24
Calvin Theological Seminary,455,625,502,661,22,22,23,27,22,24
Calvin University,550,650,550,670,23,30,23,32,24,29
Calvin University - Handlon Campus,455,625,502,661,22,22,23,27,22,24
Cambridge College,455,625,502,661,22,22,23,27,22,24
Cambridge College of Healthcare & Technology,455,625,502,661,22,22,23,27,22,24
Cambridge Institute of Allied Health & Technology,455,625,502,661,22,22,23,27,22,24
Cambridge Junior College-Yuba City,455,625,502,661,22,22,23,27,22,24
Cambridge Technical Institute,455,625,502,661,22,22,23,27,22,24
Camden County College,455,625,502,661,22,22,23,27,22,24
Cameo Beauty Academy,455,625,502,661,22,22,23,27,22,24
Cameo College of Essential Beauty,455,625,502,661,22,22,23,27,22,24
Cameron University,455,625,502,661,22,22,23,27,22,24
Campbell University,510,610,500,600,19,25,17,24,18,25
Campbellsville University,455,625,502,661,22,22,23,27,22,24
Canada College,455,625,502,661,22,22,23,27,22,24
Canadian Valley Technology Center,455,625,502,661,22,22,23,27,22,24
Canisius College,520,620,520,620,21,27,23,27,22,24
Cankdeska Cikana Community College,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Blue Island,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Chicago,455,625,502,661,22,22,23,27,22,24
Cannella School of Hair Design-Villa Park,455,625,502,661,22,22,23,27,22,24
Canton City Schools Adult Career and Technical Education,455,625,502,661,22,22,23,27,22,24
Cape Cod Community College,455,625,502,661,22,22,23,27,22,24
Cape Coral Technical College,455,625,502,661,22,22,23,27,22,24
Cape Fear Community College,455,625,502,661,22,22,23,27,22,24
Cape Girardeau Career and Technology Center,455,625,502,661,22,22,23,27,22,24
Capella University,455,625,502,661,22,22,23,27,22,24
Capilo School of Hair Design,455,625,502,661,22,22,23,27,22,24
Capital Area School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Capital Community College,455,625,502,661,22,22,23,27,22,24
Capital University,455,625,502,661,22,22,23,27,22,24
Capitol School of Hairstyling and Esthetics,455,625,502,661,22,22,23,27,22,24
Capitol Technology University,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri Beauty College,455,625,502,661,22,22,23,27,22,24
Capri College-Cedar Rapids,455,625,502,661,22,22,23,27,22,24
Capri College-Davenport,455,625,502,661,22,22,23,27,22,24
Capri College-Dubuque,455,625,502,661,22,22,23,27,22,24
Capri Cosmetology Learning Centers,455,625,502,661,22,22,23,27,22,24
Capri Institute of Hair Design-Brick,455,625,502,661,22,22,23,27,22,24
Capri Institute of Hair Design-Clifton,455,625,502,661,22,22,23,27,22,24
Capri Institute of Hair Design-Kenilworth,455,625,502,661,22,22,23,27,22,24
Capri Institute of Hair Design-Paramus,455,625,502,661,22,22,23,27,22,24
Cardiac and Vascular Institute of Ultrasound,455,625,502,661,22,22,23,27,22,24
Cardinal Stritch University,505,565,470,535,17,23,17,23,16,21
Career Academy of Beauty,455,625,502,661,22,22,23,27,22,24
Career Academy of Hair Design,455,625,502,661,22,22,23,27,22,24
Career and Technology Education Centers of Licking County,455,625,502,661,22,22,23,27,22,24
Career Beauty College,455,625,502,661,22,22,23,27,22,24
Career Care Institute,455,625,502,661,22,22,23,27,22,24
Career Center of Southern Illinois,455,625,502,661,22,22,23,27,22,24
Career College of Northern Nevada,455,625,502,661,22,22,23,27,22,24
Career Development Institute Inc,455,625,502,661,22,22,23,27,22,24
Career School of NY,455,625,502,661,22,22,23,27,22,24
Career Networks Institute,455,625,502,661,22,22,23,27,22,24
Career Quest Learning Center-Bay City Branch,455,625,502,661,22,22,23,27,22,24
Career Quest Learning Center-Mt. Pleasant,455,625,502,661,22,22,23,27,22,24
Career Quest Learning Centers-Jackson,455,625,502,661,22,22,23,27,22,24
Career Quest Learning Centers-Lansing,455,625,502,661,22,22,23,27,22,24
Career Technical Institute,455,625,502,661,22,22,23,27,22,24
Career Technology Center of Lackawanna County,455,625,502,661,22,22,23,27,22,24
Careers Institute of America,455,625,502,661,22,22,23,27,22,24
Careers Unlimited,455,625,502,661,22,22,23,27,22,24
Caribbean Aviation Training Institute Inc,455,625,502,661,22,22,23,27,22,24
Caribbean Forensic and Technical College,455,625,502,661,22,22,23,27,22,24
Caribbean University-Bayamon,455,625,502,661,22,22,23,27,22,24
Caribbean University-Carolina,455,625,502,661,22,22,23,27,22,24
Caribbean University-Ponce,455,625,502,661,22,22,23,27,22,24
Caribbean University-Vega Baja,455,625,502,661,22,22,23,27,22,24
Caris College,455,625,502,661,22,22,23,27,22,24
Carl Albert State College,455,625,502,661,22,22,23,27,22,24
Carl Sandburg College,455,625,502,661,22,22,23,27,22,24
Carleton College,660,750,670,770,30,34,32,35,27,34
Carlow University,500,580,480,560,19,24,19,23,17,23
Carlson College of Massage Therapy,455,625,502,661,22,22,23,27,22,24
Carnegie Institute,455,625,502,661,22,22,23,27,22,24
Carnegie Mellon University,700,760,760,800,33,35,33,36,33,35
Carolina Christian College,455,625,502,661,22,22,23,27,22,24
Carolina College of Biblical Studies,455,625,502,661,22,22,23,27,22,24
Carolina College of Hair Design,455,625,502,661,22,22,23,27,22,24
Carolina School of Broadcasting,455,625,502,661,22,22,23,27,22,24
Carolina University,455,625,502,661,22,22,23,27,22,24
Carolinas College of Health Sciences,470,570,490,540,22,22,23,27,22,24
Carrington College-Administrative Office,455,625,502,661,22,22,23,27,22,24
Carrington College-Albuquerque,455,625,502,661,22,22,23,27,22,24
Carrington College-Boise,455,625,502,661,22,22,23,27,22,24
Carrington College-Citrus Heights,455,625,502,661,22,22,23,27,22,24
Carrington College-Las Vegas,455,625,502,661,22,22,23,27,22,24
Carrington College-Mesa,455,625,502,661,22,22,23,27,22,24
Carrington College-Mesquite,455,625,502,661,22,22,23,27,22,24
Carrington College-Ontario,455,625,502,661,22,22,23,27,22,24
Carrington College-Phoenix North,455,625,502,661,22,22,23,27,22,24
Carrington College-Pleasant Hill Campus,455,625,502,661,22,22,23,27,22,24
Carrington College-Portland,455,625,502,661,22,22,23,27,22,24
Carrington College-Reno,455,625,502,661,22,22,23,27,22,24
Carrington College-Sacramento,455,625,502,661,22,22,23,27,22,24
Cascadia College,455,625,502,661,22,22,23,27,22,24
Carrington College-San Jose,455,625,502,661,22,22,23,27,22,24
Carrington College-San Leandro Campus,455,625,502,661,22,22,23,27,22,24
Carrington College-Spokane,455,625,502,661,22,22,23,27,22,24
Carrington College-Stockton,455,625,502,661,22,22,23,27,22,24
Carrington College-Tucson,455,625,502,661,22,22,23,27,22,24
Carroll College,550,650,540,640,22,27,21,27,20,26
Carroll Community College,455,625,502,661,22,22,23,27,22,24
Carroll University,530,610,520,623,21,26,20,26,19,26
Carson-Newman University,480,560,470,570,19,25,16,25,17,24
Carsten Institute of Cosmetology,455,625,502,661,22,22,23,27,22,24
Carteret Community College,455,625,502,661,22,22,23,27,22,24
Carthage College,500,610,500,620,20,27,20,28,18,26
Carthage R9 School District-Carthage Technical Center,455,625,502,661,22,22,23,27,22,24
Carver Career Center,455,625,502,661,22,22,23,27,22,24
Casa Loma College-Van Nuys,455,625,502,661,22,22,23,27,22,24
Casal Aveda Institute,455,625,502,661,22,22,23,27,22,24
Casal Institute of Nevada,455,625,502,661,22,22,23,27,22,24
Case Western Reserve University,640,730,700,790,31,34,29,34,31,34
Casper College,455,625,502,661,22,22,23,27,22,24
Cass Career Center,455,625,502,661,22,22,23,27,22,24
Castleton University,470,580,470,560,16,22,14,22,16,22
Catawba College,470,570,470,570,17,22,15,21,17,23
Catawba Valley Community College,455,625,502,661,22,22,23,27,22,24
Catherine Hinds Institute of Esthetics,455,625,502,661,22,22,23,27,22,24
Catholic Distance University,455,625,502,661,22,22,23,27,22,24
Catholic Theological Union at Chicago,455,625,502,661,22,22,23,27,22,24
Cattaraugus Allegany BOCES-Practical Nursing Program,455,625,502,661,22,22,23,27,22,24
Cayce/Reilly School of Massage,455,625,502,661,22,22,23,27,22,24
Cayuga County Community College,455,625,502,661,22,22,23,27,22,24
Cayuga Onondaga BOCES-Practical Nursing Program,455,625,502,661,22,22,23,27,22,24
Cazenovia College,452,566,441,550,15,22,23,27,22,24
CBD College,455,625,502,661,22,22,23,27,22,24
CCI Training Center-Arlington,455,625,502,661,22,22,23,27,22,24
CDA Technical Institute,455,625,502,661,22,22,23,27,22,24
CDE Career Institute,455,625,502,661,22,22,23,27,22,24
Cecil College,455,625,502,661,22,22,23,27,22,24
Cedar Crest College,490,600,480,570,18,24,16,23,16,24
Cedar Valley College,455,625,502,661,22,22,23,27,22,24
Cedarville University,570,680,540,670,23,30,23,33,22,28
Celebrity Barber School,455,625,502,661,22,22,23,27,22,24
Celebrity School of Beauty,455,625,502,661,22,22,23,27,22,24
Celebrity Stylist Beauty School,455,625,502,661,22,22,23,27,22,24
CEM College-Bayamon,455,625,502,661,22,22,23,27,22,24
CEM College-Humacao,455,625,502,661,22,22,23,27,22,24
CEM College-Mayaguez,455,625,502,661,22,22,23,27,22,24
CEM College-San Juan,455,625,502,661,22,22,23,27,22,24
Centenary College of Louisiana,490,600,490,590,22,28,21,29,19,26
Centenary University,455,560,440,540,15,22,12,23,15,18
Center for Advanced Legal Studies,455,625,502,661,22,22,23,27,22,24
Center for Advanced Studies On Puerto Rico and the Caribbean,455,625,502,661,22,22,23,27,22,24
Center for Allied Health Education,455,625,502,661,22,22,23,27,22,24
Center for Instruction  Technology & Innovation,455,625,502,661,22,22,23,27,22,24
Center for Massage,455,625,502,661,22,22,23,27,22,24
Center for Natural Wellness School of Massage Therapy,455,625,502,661,22,22,23,27,22,24
Center for Neurosomatic Studies,455,625,502,661,22,22,23,27,22,24
Center for the Healing Arts,455,625,502,661,22,22,23,27,22,24
Center for Ultrasound Research & Education,455,625,502,661,22,22,23,27,22,24
CenterPoint Massage & Shiatsu Therapy School & Clinic,455,625,502,661,22,22,23,27,22,24
Centra College,455,625,502,661,22,22,23,27,22,24
Central Alabama Community College,455,625,502,661,22,22,23,27,22,24
Central Arizona College,455,625,502,661,22,22,23,27,22,24
Central Baptist College,425,565,455,535,18,22,16,23,16,22
Central California School of Continuing Education,455,625,502,661,22,22,23,27,22,24
Central Career Institute LLC,455,625,502,661,22,22,23,27,22,24
Central Carolina Community College,455,625,502,661,22,22,23,27,22,24
Central Carolina Technical College,455,625,502,661,22,22,23,27,22,24
Central Christian College of Kansas,455,625,502,661,22,22,23,27,22,24
Central Christian College of the Bible,455,625,502,661,22,22,23,27,22,24
Central Coast College,455,625,502,661,22,22,23,27,22,24
Central College,490,588,503,585,19,25,17,25,18,25
Central College of Cosmetology,455,625,502,661,22,22,23,27,22,24
Central Community College,455,625,502,661,22,22,23,27,22,24
Central Connecticut State University,490,580,480,570,19,25,17,23,17,24
Central Georgia Technical College,455,625,502,661,22,22,23,27,22,24
Central Lakes College-Brainerd,455,625,502,661,22,22,23,27,22,24
Central Louisiana Technical Community College,455,625,502,661,22,22,23,27,22,24
Central Maine Community College,455,625,502,661,22,22,23,27,22,24
Central Methodist University-College of Graduate and Extended Studies,455,625,502,661,22,22,23,27,22,24
Central Methodist University-College of Liberal Arts and Sciences,470,540,470,540,18,23,16,23,16,23
Central Michigan University,500,610,500,600,20,26,20,26,18,26
Central New Mexico Community College,455,625,502,661,22,22,23,27,22,24
Central Ohio Technical College,455,625,502,661,22,22,23,27,22,24
Central Oklahoma College,455,625,502,661,22,22,23,27,22,24
Central Oregon Community College,455,625,502,661,22,22,23,27,22,24
Central Penn College,455,625,502,661,22,22,23,27,22,24
Central Pennsylvania Diesel Institute,455,625,502,661,22,22,23,27,22,24
Central Pennsylvania Institute of Science and Technology,455,625,502,661,22,22,23,27,22,24
Central Piedmont Community College,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central School of Practical Nursing,455,625,502,661,22,22,23,27,22,24
Central State University,455,625,502,661,22,22,23,27,22,24
Central Susquehanna Intermediate Unit LPN Career,455,625,502,661,22,22,23,27,22,24
Central Technology Center,455,625,502,661,22,22,23,27,22,24
Central Texas Beauty College-Round Rock,455,625,502,661,22,22,23,27,22,24
Central Texas Beauty College-Temple,455,625,502,661,22,22,23,27,22,24
Central Texas College,455,625,502,661,22,22,23,27,22,24
Central Virginia Community College,455,625,502,661,22,22,23,27,22,24
Central Washington University,470,580,460,570,17,24,15,23,16,24
Central Wyoming College,455,625,502,661,22,22,23,27,22,24
Central Yeshiva Beth Joseph,455,625,502,661,22,22,23,27,22,24
Central Yeshiva Tomchei Tmimim Lubavitz,455,625,502,661,22,22,23,27,22,24
Centralia Beauty College,455,625,502,661,22,22,23,27,22,24
Centralia College,455,625,502,661,22,22,23,27,22,24
Centre College,560,660,540,680,26,32,26,34,25,29
Centura College-Chesapeake,455,625,502,661,22,22,23,27,22,24
Centura College-Newport News,455,625,502,661,22,22,23,27,22,24
Centura College-Norfolk,455,625,502,661,22,22,23,27,22,24
Centura College-Richmond Main,455,625,502,661,22,22,23,27,22,24
Centura College-Virginia Beach,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Century College,455,625,502,661,22,22,23,27,22,24
Cerritos College,455,625,502,661,22,22,23,27,22,24
Cerro Coso Community College,455,625,502,661,22,22,23,27,22,24
CES College,455,625,502,661,22,22,23,27,22,24
CET-Alexandria,455,625,502,661,22,22,23,27,22,24
CET-Coachella,455,625,502,661,22,22,23,27,22,24
CET-Colton,455,625,502,661,22,22,23,27,22,24
CET-El Centro,455,625,502,661,22,22,23,27,22,24
CET-El Paso,455,625,502,661,22,22,23,27,22,24
CET-Oxnard,455,625,502,661,22,22,23,27,22,24
CET-Salinas,455,625,502,661,22,22,23,27,22,24
CET-San Diego,455,625,502,661,22,22,23,27,22,24
CET-San Jose,455,625,502,661,22,22,23,27,22,24
CET-Santa Maria,455,625,502,661,22,22,23,27,22,24
CET-Soledad,455,625,502,661,22,22,23,27,22,24
CET-Watsonville,455,625,502,661,22,22,23,27,22,24
Chabot College,455,625,502,661,22,22,23,27,22,24
Chadron State College,455,625,502,661,22,22,23,27,22,24
Chaffey College,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Administrative Office,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Arizona,455,625,502,661,22,22,23,27,22,24
Chamberlain University-California,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Florida,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Georgia,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Illinois,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Indiana,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Louisiana,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Michigan,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Missouri,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Nevada,455,625,502,661,22,22,23,27,22,24
Chamberlain University-New Jersey,455,625,502,661,22,22,23,27,22,24
Chamberlain University-North Carolina,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Ohio,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Texas,455,625,502,661,22,22,23,27,22,24
Chamberlain University-Virginia,455,625,502,661,22,22,23,27,22,24
Chambersburg Beauty School,455,625,502,661,22,22,23,27,22,24
Chaminade University of Honolulu,500,580,460,560,18,23,17,22,17,24
Champ's Barber School,455,625,502,661,22,22,23,27,22,24
Champion Beauty College,455,625,502,661,22,22,23,27,22,24
Champion Christian College,455,625,502,661,22,22,23,27,22,24
Champlain College,455,625,502,661,22,22,23,27,22,24
Charter College,455,625,502,661,22,22,23,27,22,24
