institution,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
Alabama A & M University,430,520,410,500,15,20,14,20,15,18
Alabama College of Osteopathic Medicine,455,625,502,661,22,22,23,27,22,24
Alabama School of Nail Technology & Cosmetology,455,625,502,661,22,22,23,27,22,24
Alabama State College of Barber Styling,455,625,502,661,22,22,23,27,22,24
Alabama State University,438,531,406,518,14,20,14,20,14,20
Alamance Community College,455,625,502,661,22,22,23,27,22,24
Alamo City Barber College,455,625,502,661,22,22,23,27,22,24
Alamo Community College District Central Office,455,625,502,661,22,22,23,27,22,24
Alaska Bible College,455,625,502,661,22,22,23,27,22,24
Alaska Career College,455,625,502,661,22,22,23,27,22,24
Alaska Christian College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
Alaska Pacific University,455,625,502,661,22,22,23,27,22,24
Alaska Vocational Technical Center,455,625,502,661,22,22,23,27,22,24
Albany BOCES-Adult Practical Nursing Program,455,625,502,661,22,22,23,27,22,24
Albany College of Pharmacy and Health Sciences,550,640,580,660,25,31,23,27,22,24
Albany Law School,455,625,502,661,22,22,23,27,22,24
Albany Medical College,455,625,502,661,22,22,23,27,22,24
Albany State University,380,460,360,440,15,18,13,17,15,17
Albany Technical College,455,625,502,661,22,22,23,27,22,24
Albert Einstein College of Medicine,455,625,502,661,22,22,23,27,22,24
Albertus Magnus College,455,625,502,661,22,22,23,27,22,24
Albizu University-Miami,455,625,502,661,22,22,23,27,22,24
Albizu University-San Juan,455,625,502,661,22,22,23,27,22,24
Albright College,455,625,502,661,22,22,23,27,22,24
Alcorn State University,410,500,390,460,16,25,14,25,16,25
Alder Graduate School of Education,455,625,502,661,22,22,23,27,22,24
All-State Career School,455,625,502,661,22,22,23,27,22,24
Alderson Broaddus University,430,530,420,520,17,22,15,21,16,21
Alexander Academy,455,625,502,661,22,22,23,27,22,24
Alexander Paul Institute of Hair Design,455,625,502,661,22,22,23,27,22,24
Alexandria School of Scientific Therapeutics,455,625,502,661,22,22,23,27,22,24
Alexandria Technical & Community College,455,625,502,661,22,22,23,27,22,24
Alfred University,480,600,490,600,21,27,19,26,19,26
Alhambra Beauty College,455,625,502,661,22,22,23,27,22,24
Alhambra Medical University,455,625,502,661,22,22,23,27,22,24
Alice Lloyd College,440,500,420,500,16,21,16,23,16,19
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All Beauty College,455,625,502,661,22,22,23,27,22,24
All-State Career School-Pittsburgh,455,625,502,661,22,22,23,27,22,24
All-State Career-Baltimore,455,625,502,661,22,22,23,27,22,24
Allan Hancock College,455,625,502,661,22,22,23,27,22,24
Allegany College of Maryland,455,625,502,661,22,22,23,27,22,24
Allegheny College,580,680,560,670,24,30,22,31,22,27
Allegheny Wesleyan College,455,625,502,661,22,22,23,27,22,24
Allen College,455,625,502,661,22,22,23,27,22,24
Allen County Community College,455,625,502,661,22,22,23,27,22,24
Allen School-Brooklyn,455,625,502,661,22,22,23,27,22,24
Allen School-Jamaica,455,625,502,661,22,22,23,27,22,24
Allen School-Phoenix,455,625,502,661,22,22,23,27,22,24
Allen University,455,625,502,661,22,22,23,27,22,24
Allgood Beauty Institute,455,625,502,661,22,22,23,27,22,24
Alliance Career Center,455,625,502,661,22,22,23,27,22,24
Alliance Computing Solutions,455,625,502,661,22,22,23,27,22,24
Alliant International University-San Diego,455,625,502,661,22,22,23,27,22,24
Allied Health Careers Institute,455,625,502,661,22,22,23,27,22,24
Allstate Hairstyling & Barber College,455,625,502,661,22,22,23,27,22,24
Alma College,455,625,502,661,22,22,23,27,22,24
Alpena Community College,455,625,502,661,22,22,23,27,22,24
Altierus Career College-Bissonnet,455,625,502,661,22,22,23,27,22,24
Altierus Career College-Norcross,455,625,502,661,22,22,23,27,22,24
Altierus Career College-Tampa,455,625,502,661,22,22,23,27,22,24
Altoona Beauty School Inc,455,625,502,661,22,22,23,27,22,24
Altura College,455,625,502,661,22,22,23,27,22,24
Alvernia University,455,625,502,661,22,22,23,27,22,24
Alverno College,455,625,502,661,22,22,23,27,22,24
Alvin Community College,455,625,502,661,22,22,23,27,22,24
Amarillo College,455,625,502,661,22,22,23,27,22,24
Amberton University,455,625,502,661,22,22,23,27,22,24
Ambria College of Nursing,455,625,502,661,22,22,23,27,22,24
America Evangelical University,455,625,502,661,22,22,23,27,22,24
American Academy McAllister Institute of Funeral Service,455,625,502,661,22,22,23,27,22,24
American Academy of Acupuncture and Oriental Medicine,455,625,502,661,22,22,23,27,22,24
American Academy of Art,455,625,502,661,22,22,23,27,22,24
American Academy of Cosmetology,455,625,502,661,22,22,23,27,22,24
