,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,instnm,Institution (entity) name (HD2020),Certificate of less than 1 year (IC2020),Certificate of less than 12 weeks (IC2020),Certificate of at least 12 weeks  but less than 1 year (IC2020),Certifiicate of at least 1 year  but less than 2 years (IC2020),Associate's degree (IC2020),Certificate of at least 2 years  but less than 4 years (IC2020),Bachelor's degree (IC2020),Postbaccalaureate certificate (IC2020),Master's degree (IC2020),Post-master's certificate (IC2020),Doctor's degree - research/scholarship (IC2020),Doctor's degree - professional practice (IC2020),Doctor's degree - other (IC2020),Other degree (IC2020),Unnamed: 16
1475,1475,1475,1475,Culpeper Cosmetology Training Center,Culpeper Cosmetology Training Center,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1476,1476,1476,1476,Culver-Stockton College,Culver-Stockton College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1477,1477,1477,1477,Cumberland County College,Cumberland County College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1478,1478,1478,1478,Cumberland University,Cumberland University,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1479,1479,1479,1479,CUNY Bernard M Baruch College,CUNY Bernard M Baruch College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
1480,1480,1480,1480,CUNY Borough of Manhattan Community College,CUNY Borough of Manhattan Community College,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1481,1481,1481,1481,CUNY Bronx Community College,CUNY Bronx Community College,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1482,1482,1482,1482,CUNY Brooklyn College,CUNY Brooklyn College,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
1483,1483,1483,1483,CUNY City College,CUNY City College,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
1484,1484,1484,1484,CUNY Graduate School and University Center,CUNY Graduate School and University Center,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
1485,1485,1485,1485,CUNY Hostos Community College,CUNY Hostos Community College,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1486,1486,1486,1486,CUNY Hunter College,CUNY Hunter College,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
1487,1487,1487,1487,CUNY John Jay College of Criminal Justice,CUNY John Jay College of Criminal Justice,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
1488,1488,1488,1488,CUNY Kingsborough Community College,CUNY Kingsborough Community College,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1489,1489,1489,1489,CUNY LaGuardia Community College,CUNY LaGuardia Community College,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1490,1490,1490,1490,CUNY Lehman College,CUNY Lehman College,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,
1491,1491,1491,1491,CUNY Medgar Evers College,CUNY Medgar Evers College,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1492,1492,1492,1492,CUNY New York City College of Technology,CUNY New York City College of Technology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1493,1493,1493,1493,CUNY Queens College,CUNY Queens College,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
1494,1494,1494,1494,CUNY Queensborough Community College,CUNY Queensborough Community College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1495,1495,1495,1495,CUNY School of Law,CUNY School of Law,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1496,1496,1496,1496,CUNY Stella and Charles Guttman Community College,CUNY Stella and Charles Guttman Community College,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1497,1497,1497,1497,CUNY System Office,CUNY System Office,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
1498,1498,1498,1498,CUNY York College,CUNY York College,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1499,1499,1499,1499,Curry College,Curry College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
1500,1500,1500,1500,Curtis Institute of Music,Curtis Institute of Music,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1501,1501,1501,1501,Curve Metric School of Hair Design,Curve Metric School of Hair Design,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1502,1502,1502,1502,Cutting Edge Academy,Cutting Edge Academy,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1503,1503,1503,1503,Cuyahoga Community College District,Cuyahoga Community College District,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1504,1504,1504,1504,Cuyahoga Valley Career Center,Cuyahoga Valley Career Center,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1505,1505,1505,1505,Cuyamaca College,Cuyamaca College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1506,1506,1506,1506,CVPH Medical Center School of Radiologic Technology,CVPH Medical Center School of Radiologic Technology,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1507,1507,1507,1507,CyberTex Institute of Technology,CyberTex Institute of Technology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1508,1508,1508,1508,Cypress College,Cypress College,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1509,1509,1509,1509,Cyrus The Great International Online University,Cyrus The Great International Online University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
1510,1510,1510,1510,D A Dorsey Technical College,D A Dorsey Technical College,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1511,1511,1511,1511,D&S School of Cosmetology,D&S School of Cosmetology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1512,1512,1512,1512,D'Jay's Institute of Cosmetology and Esthiology,D'Jay's Institute of Cosmetology and Esthiology,0.0,,,0.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
1513,1513,1513,1513,D'Mart Institute,D'Mart Institute,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1514,1514,1514,1514,D'Youville College,D'Youville College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
1515,1515,1515,1515,Dabney S Lancaster Community College,Dabney S Lancaster Community College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1516,1516,1516,1516,Daemen College,Daemen College,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,
1517,1517,1517,1517,Dakota College at Bottineau,Dakota College at Bottineau,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1518,1518,1518,1518,Dakota County Technical College,Dakota County Technical College,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1519,1519,1519,1519,Dakota State University,Dakota State University,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
1520,1520,1520,1520,Dakota Wesleyan University,Dakota Wesleyan University,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
1521,1521,1521,1521,Dallas Baptist University,Dallas Baptist University,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
1522,1522,1522,1522,Dallas Barber & Stylist College,Dallas Barber & Stylist College,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1523,1523,1523,1523,Dallas Christian College,Dallas Christian College,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1524,1524,1524,1524,Dallas College,Dallas College,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1525,1525,1525,1525,Dallas County Community College District,Dallas County Community College District,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1526,1526,1526,1526,Dallas Institute of Funeral Service,Dallas Institute of Funeral Service,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1527,1527,1527,1527,Dallas Theological Seminary,Dallas Theological Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
1528,1528,1528,1528,Dalton Institute of Esthetics and Cosmetology,Dalton Institute of Esthetics and Cosmetology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1529,1529,1529,1529,Dalton State College,Dalton State College,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1530,1530,1530,1530,Daniel Morgan Graduate School of National Security,Daniel Morgan Graduate School of National Security,0.0,,,0.0,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
1531,1531,1531,1531,Danville Area Community College,Danville Area Community College,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1532,1532,1532,1532,Danville Community College,Danville Community College,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1533,1533,1533,1533,Daoist Traditions College of Chinese Medical Arts,Daoist Traditions College of Chinese Medical Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
1534,1534,1534,1534,Dartmouth College,Dartmouth College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,
1535,1535,1535,1535,Davenport University,Davenport University,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
1536,1536,1536,1536,David Pressley School of Cosmetology,David Pressley School of Cosmetology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1537,1537,1537,1537,Davidson College,Davidson College,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1538,1538,1538,1538,Davidson County Community College,Davidson County Community College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1539,1539,1539,1539,Davines Professional Academy of Beauty and Business,Davines Professional Academy of Beauty and Business,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1540,1540,1540,1540,Davis & Elkins College,Davis & Elkins College,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1541,1541,1541,1541,Davis College,Davis College,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1542,1542,1542,1542,Davis College,Davis College,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1543,1543,1543,1543,Davis Technical College,Davis Technical College,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1544,1544,1544,1544,Dawn Career Institute LLC,Dawn Career Institute LLC,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1545,1545,1545,1545,Dawson Community College,Dawson Community College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1546,1546,1546,1546,Dayton Barber College,Dayton Barber College,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1547,1547,1547,1547,Dayton School of Medical Massage,Dayton School of Medical Massage,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1548,1548,1548,1548,Daytona College,Daytona College,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1549,1549,1549,1549,Daytona State College,Daytona State College,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1550,1550,1550,1550,DCI Career Institute,DCI Career Institute,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1551,1551,1551,1551,De Anza College,De Anza College,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1552,1552,1552,1552,Dean College,Dean College,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1553,1553,1553,1553,Debutantes School of Cosmetology and Nail Technology,Debutantes School of Cosmetology and Nail Technology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1554,1554,1554,1554,Defiance College,Defiance College,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1555,1555,1555,1555,DeHart Technical School,DeHart Technical School,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1556,1556,1556,1556,Del Mar College,Del Mar College,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1557,1557,1557,1557,Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1558,1558,1558,1558,Delaware College of Art and Design,Delaware College of Art and Design,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1559,1559,1559,1559,Delaware County Community College,Delaware County Community College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1560,1560,1560,1560,Delaware County Technical School-Practical Nursing Program,Delaware County Technical School-Practical Nursing Program,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1561,1561,1561,1561,Delaware Learning Institute of Cosmetology,Delaware Learning Institute of Cosmetology,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1562,1562,1562,1562,Delaware State University,Delaware State University,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
1563,1563,1563,1563,Delaware Technical Community College-Central Office,Delaware Technical Community College-Central Office,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1564,1564,1564,1564,Delaware Technical Community College-Terry,Delaware Technical Community College-Terry,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1565,1565,1565,1565,Delaware Valley University,Delaware Valley University,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
1566,1566,1566,1566,Delgado Community College,Delgado Community College,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1567,1567,1567,1567,Dell'Arte International School of Physical Theatre,Dell'Arte International School of Physical Theatre,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1568,1568,1568,1568,Delmarva Beauty Academy,Delmarva Beauty Academy,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1569,1569,1569,1569,Delta Beauty College,Delta Beauty College,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1570,1570,1570,1570,Delta College,Delta College,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1571,1571,1571,1571,Delta College Inc,Delta College Inc,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1572,1572,1572,1572,Delta College of Arts & Technology,Delta College of Arts & Technology,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1573,1573,1573,1573,Delta College of Arts & Technology-Lafayette Campus,Delta College of Arts & Technology-Lafayette Campus,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1574,1574,1574,1574,Delta College-Slidell Campus,Delta College-Slidell Campus,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1575,1575,1575,1575,Delta Designs Cosmetology School,Delta Designs Cosmetology School,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1576,1576,1576,1576,Delta State University,Delta State University,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
1577,1577,1577,1577,Delta Technical College,Delta Technical College,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1578,1578,1578,1578,Deluxe Barber College,Deluxe Barber College,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1579,1579,1579,1579,Denham Springs Beauty School,Denham Springs Beauty School,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1580,1580,1580,1580,Denison University,Denison University,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1581,1581,1581,1581,Denmark College,Denmark College,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1582,1582,1582,1582,Denmark Technical College,Denmark Technical College,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1583,1583,1583,1583,Dental Assistant Pro LLC-Columbus,Dental Assistant Pro LLC-Columbus,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1584,1584,1584,1584,Dental Assistant Pro-Lebanon,Dental Assistant Pro-Lebanon,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1585,1585,1585,1585,Denver College of Nursing,Denver College of Nursing,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1586,1586,1586,1586,Denver Seminary,Denver Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
1587,1587,1587,1587,DePaul University,DePaul University,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
1588,1588,1588,1588,DePauw University,DePauw University,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1589,1589,1589,1589,Derech Hachaim Seminary,Derech Hachaim Seminary,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1590,1590,1590,1590,Dermal Science International Aesthetics and Nail Academy,Dermal Science International Aesthetics and Nail Academy,1.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1591,1591,1591,1591,Des Moines Area Community College,Des Moines Area Community College,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1592,1592,1592,1592,Des Moines University-Osteopathic Medical Center,Des Moines University-Osteopathic Medical Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,
1593,1593,1593,1593,DeSales University,DeSales University,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,
1594,1594,1594,1594,Design Institute of San Diego,Design Institute of San Diego,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1595,1595,1595,1595,Design's School of Cosmetology,Design's School of Cosmetology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1596,1596,1596,1596,Designer Barber & Stylist School,Designer Barber & Stylist School,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1597,1597,1597,1597,Detroit Business Institute-Downriver,Detroit Business Institute-Downriver,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1598,1598,1598,1598,DeVry College of New York,DeVry College of New York,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1599,1599,1599,1599,DeVry University-Administrative Office,DeVry University-Administrative Office,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1600,1600,1600,1600,DeVry University-Arizona,DeVry University-Arizona,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1601,1601,1601,1601,DeVry University-California,DeVry University-California,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1602,1602,1602,1602,DeVry University-Colorado,DeVry University-Colorado,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1603,1603,1603,1603,DeVry University-Florida,DeVry University-Florida,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1604,1604,1604,1604,DeVry University-Georgia,DeVry University-Georgia,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1605,1605,1605,1605,DeVry University-Illinois,DeVry University-Illinois,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1606,1606,1606,1606,DeVry University-Indiana,DeVry University-Indiana,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1607,1607,1607,1607,DeVry University-Missouri,DeVry University-Missouri,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1608,1608,1608,1608,DeVry University-Nevada,DeVry University-Nevada,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1609,1609,1609,1609,DeVry University-New Jersey,DeVry University-New Jersey,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1610,1610,1610,1610,DeVry University-North Carolina,DeVry University-North Carolina,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1611,1611,1611,1611,DeVry University-Ohio,DeVry University-Ohio,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1612,1612,1612,1612,DeVry University-Pennsylvania,DeVry University-Pennsylvania,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1613,1613,1613,1613,DeVry University-Tennessee,DeVry University-Tennessee,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1614,1614,1614,1614,DeVry University-Texas,DeVry University-Texas,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1615,1615,1615,1615,DeVry University-Virginia,DeVry University-Virginia,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
1616,1616,1616,1616,Dewey University-Carolina,Dewey University-Carolina,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1617,1617,1617,1617,Dewey University-Hato Rey,Dewey University-Hato Rey,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1618,1618,1618,1618,Dewey University-Juana Díaz,Dewey University-Juana Díaz,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
1619,1619,1619,1619,Dewey University-Manati,Dewey University-Manati,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1620,1620,1620,1620,Diablo Valley College,Diablo Valley College,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
