institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
American College of Education,0,0,0,90,0,IN,1,3,2,2,11,3,22,34,71,20,50,143,0,0,87
American College of Financial Services,2,2,11,3,0,PA,1,2,2,2,21,3,22,34,71,20,50,32,1,0,69
American College of Healthcare Sciences,15,1,1,0,0,OR,1,3,2,2,11,1,22,34,71,20,67,21,0,0,4
American College of the Building Arts,9,0,0,0,0,SC,1,2,2,2,12,1,58,58,58,8,67,12,0,0,3
American Conservatory Theater,0,0,0,0,0,CA,1,2,2,2,11,1,22,34,71,20,50,11,2,0,1
American Film Institute Conservatory,6,0,0,0,6,CA,1,2,2,2,11,1,22,34,71,20,50,46,0,0,20
American Institute of Alternative Medicine,0,0,0,14,0,OH,1,3,2,2,11,1,22,34,71,20,47,30,0,0,4
American InterContinental University,0,0,0,0,0,AZ,1,3,2,2,41,4,11,11,11,20,17,349,0,0,119
American InterContinental University-Atlanta,0,0,0,0,0,GA,1,3,2,2,12,2,38,38,38,20,33,14,0,0,12
American InterContinental University-Houston,0,0,0,0,0,TX,1,3,2,2,11,1,47,53,58,20,52,14,0,0,7
American International College,13,27,14,3,0,MA,1,2,2,2,12,2,32,42,44,20,44,238,0,0,41
American Islamic College,166,182,201,56,19,IL,1,2,2,2,11,1,0,0,0,20,0,4,0,0,1
American Jewish University,6,0,0,0,0,CA,1,2,2,2,11,1,33,33,33,20,33,21,0,0,9
American Medical Academy,0,0,0,6,0,FL,1,3,2,2,21,1,22,34,71,20,71,6,0,0,0
American Medical Sciences Center,166,182,201,56,19,CA,1,3,2,2,12,1,22,34,71,20,87,3,0,0,0
American Musical and Dramatic Academy,0,0,0,126,0,NY,1,2,2,2,11,2,62,64,64,20,71,259,0,0,9
American National University,0,0,0,0,0,VA,1,3,2,2,22,1,22,34,71,20,30,12,0,0,0
American National University-Pikeville,0,0,0,0,0,KY,1,3,2,2,41,1,22,34,71,20,25,7,0,0,0
American Public University System,48,151,59,87,0,WV,1,3,2,2,31,5,27,35,38,20,48,825,0,0,82
American Sentinel University,1,8,6,0,0,CO,1,3,2,2,11,2,0,0,0,100,0,54,0,0,30
American University,187,178,141,321,0,DC,1,2,2,2,11,4,74,78,79,20,79,1062,34,0,51
American University of Health Sciences,7,8,15,8,0,CA,1,3,2,2,21,1,38,38,38,20,38,47,3,0,5
AmeriTech College-Draper,0,0,0,0,0,UT,1,3,2,2,21,2,22,34,71,20,80,81,0,0,20
Amherst College,100,38,85,2,37,MA,1,2,2,2,21,2,85,93,95,2,95,268,0,0,30
Amridge University,13,8,6,3,0,AL,1,2,2,2,12,1,25,25,25,20,25,39,0,0,6
