institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
Culver-Stockton College,9,11,15,0,13,MO,1,2,2,2,43,2,42,46,46,33,46,59,0,0,3
Cumberland University,13,15,34,17,0,TN,1,2,2,2,31,2,40,53,54,32,54,116,0,0,26
CUNY Bernard M Baruch College,183,140,105,0,49,NY,1,1,2,2,11,4,45,68,73,14,73,693,0,1,93
CUNY Brooklyn College,201,141,85,0,44,NY,1,1,2,2,11,4,28,49,54,23,54,727,0,0,51
CUNY City College,259,158,82,0,54,NY,1,1,2,2,11,4,24,52,60,23,60,792,3,0,105
CUNY Graduate School and University Center,150,50,25,0,5,NY,1,1,2,2,11,3,22,34,71,20,50,359,22,2,117
CUNY Hunter College,275,184,85,0,68,NY,1,1,2,2,11,5,27,50,56,29,56,1020,0,0,74
CUNY John Jay College of Criminal Justice,104,167,60,0,67,NY,1,1,2,2,11,4,33,47,51,28,51,628,2,0,48
CUNY Lehman College,95,114,96,1,66,NY,1,1,2,2,11,4,28,47,53,20,53,574,0,0,65
CUNY Medgar Evers College,38,32,41,2,32,NY,1,1,2,2,11,3,3,12,23,28,21,212,0,0,16
CUNY New York City College of Technology,88,143,117,0,19,NY,1,1,2,2,11,4,6,17,27,39,18,682,0,0,66
CUNY Queens College,201,160,96,0,96,NY,1,1,2,2,11,4,26,46,53,25,53,819,0,0,48
CUNY School of Law,32,13,5,6,0,NY,1,1,2,2,11,1,22,34,71,20,50,62,0,0,5
CUNY York College,52,59,50,0,23,NY,1,1,2,2,11,3,8,25,32,42,32,311,0,0,38
Curry College,45,25,35,3,0,MA,1,2,2,2,21,2,49,54,55,36,55,172,0,0,26
Curtis Institute of Music,0,0,0,0,0,PA,1,2,2,2,11,1,56,94,94,20,85,42,0,0,12
Cypress College,0,0,0,224,0,CA,1,1,2,2,21,4,22,34,71,16,30,349,0,24,38
Cyrus The Great International Online University,166,182,201,56,19,NY,1,2,2,2,21,-1,22,34,71,20,50,-149,-5,74,60
D'Youville College,21,86,59,2,0,NY,1,2,2,2,11,2,29,48,53,27,60,192,1,0,4
Daemen College,13,55,58,10,0,NY,1,2,2,2,21,2,42,54,58,20,58,192,0,0,0
Dakota State University,17,24,33,24,5,SD,1,1,2,2,32,2,29,43,47,20,49,113,0,0,2
Dakota Wesleyan University,11,14,16,3,0,SD,1,2,2,2,33,1,39,44,44,3,44,57,0,0,8
Dallas Baptist University,48,18,51,0,0,TX,1,2,2,2,11,2,43,54,56,32,56,121,0,0,57
Dallas Christian College,2,4,0,1,0,TX,1,2,2,2,21,1,12,20,22,31,22,12,0,0,8
Dallas College,0,0,0,0,0,TX,1,1,2,2,11,5,22,34,71,27,21,1369,0,0,302
Dallas Theological Seminary,36,13,18,0,0,TX,1,2,2,2,11,2,22,34,71,20,50,68,0,0,0
Dalton State College,29,61,51,3,15,GA,1,1,2,2,13,2,10,31,35,27,29,187,0,0,20
Daniel Morgan Graduate School of National Security,166,182,201,56,19,DC,1,2,2,2,11,-1,22,34,71,20,50,-149,-5,74,60
Daoist Traditions College of Chinese Medical Arts,0,0,0,2,0,NC,1,3,2,2,13,1,22,34,71,20,50,11,0,0,3
Dartmouth College,312,184,132,10,73,NH,1,2,2,2,33,3,88,93,95,20,95,776,40,0,271
Davenport University,4,25,39,47,0,MI,1,2,2,2,21,3,34,45,48,20,52,243,0,0,37
Davidson College,87,41,85,1,5,NC,1,2,2,2,21,2,89,93,93,20,93,229,0,0,28
Davis & Elkins College,12,9,16,8,0,WV,1,2,2,2,33,1,43,48,52,20,48,57,0,0,32
Davis College,166,182,201,56,19,NY,1,2,2,2,22,1,32,35,35,8,44,7,0,0,0
Daytona College,0,0,0,8,0,FL,1,3,2,2,13,1,22,34,71,20,60,18,0,0,10
Daytona State College,123,55,36,8,0,FL,1,1,2,2,13,4,22,34,71,13,43,397,0,0,21
Dean College,4,8,14,0,0,MA,1,2,2,2,21,2,49,52,52,38,52,68,0,0,40
Defiance College,4,6,22,3,0,OH,1,2,2,2,32,1,41,45,45,20,45,44,0,0,9
Delaware State University,56,86,42,2,24,DE,1,1,1,2,13,2,34,45,48,20,48,259,26,17,34
Delaware Technical Community College-Terry,0,0,0,0,0,DE,1,1,2,2,13,4,22,34,71,7,18,590,0,0,84
Delaware Valley University,31,27,27,5,2,PA,1,2,2,2,21,2,47,53,54,34,55,138,0,0,55
Dell'Arte International School of Physical Theatre,166,182,201,56,19,CA,1,2,2,2,41,1,22,34,71,20,50,4,0,0,0
Delta State University,14,43,52,37,0,MS,1,1,2,2,33,2,23,34,39,20,39,175,0,0,62
Denison University,46,92,100,9,0,OH,1,2,2,2,23,2,77,80,80,17,80,254,0,0,11
Denver College of Nursing,0,0,0,25,0,CO,1,3,2,2,11,2,22,34,71,20,50,68,0,0,2
DePaul University,196,339,125,214,0,IL,1,2,2,2,11,5,58,69,71,18,71,1180,0,0,216
DePauw University,87,53,56,4,0,IN,1,2,2,2,32,2,85,87,87,20,87,213,0,0,0
Des Moines University-Osteopathic Medical Center,15,28,32,2,0,IA,1,2,2,2,12,2,22,34,71,20,50,88,8,0,1
DeSales University,16,44,69,4,0,PA,1,2,2,2,41,2,56,64,65,26,65,211,0,0,24
Design Institute of San Diego,166,182,201,56,19,CA,1,3,2,2,11,1,33,33,33,20,33,11,0,0,6
DeVry College of New York,11,0,0,0,0,NY,1,3,2,2,11,2,23,26,28,30,30,30,0,0,25
DeVry University-Arizona,4,1,1,0,0,AZ,1,3,2,2,11,1,12,14,14,30,15,17,0,0,18
DeVry University-California,23,4,0,0,0,CA,1,3,2,2,12,2,20,24,26,32,27,88,0,0,77
DeVry University-Colorado,166,182,201,56,19,CO,1,3,2,2,21,1,20,20,20,10,20,5,0,0,9
DeVry University-Florida,6,0,0,0,0,FL,1,3,2,2,21,1,11,11,11,30,23,20,0,0,24
DeVry University-Georgia,7,1,0,0,0,GA,1,3,2,2,21,2,18,21,21,30,21,29,0,0,38
DeVry University-Illinois,46,11,5,0,0,IL,1,3,2,2,11,5,15,19,20,27,22,439,0,0,61
DeVry University-Indiana,166,182,201,56,19,IN,1,3,2,2,21,1,17,17,17,83,17,3,0,0,2
DeVry University-Missouri,166,182,201,56,19,MO,1,3,2,2,11,1,22,22,22,25,17,7,0,0,6
DeVry University-Nevada,166,182,201,56,19,NV,1,3,2,2,11,1,33,33,33,17,33,4,0,0,6
DeVry University-New Jersey,8,0,0,0,0,NJ,1,3,2,2,21,1,31,36,38,26,37,17,0,0,27
DeVry University-North Carolina,166,182,201,56,19,NC,1,3,2,2,11,1,13,25,25,50,25,9,0,0,11
DeVry University-Ohio,9,0,0,0,0,OH,1,3,2,2,11,1,12,15,17,29,15,20,0,0,30
DeVry University-Pennsylvania,3,0,0,0,0,PA,1,3,2,2,21,1,3,11,11,37,15,5,0,0,22
DeVry University-Tennessee,166,182,201,56,19,TN,1,3,2,2,11,1,33,33,33,20,33,3,0,0,7
DeVry University-Texas,11,5,0,0,0,TX,1,3,2,2,12,1,7,7,7,41,6,32,0,0,26
DeVry University-Virginia,3,0,0,0,0,VA,1,3,2,2,12,1,17,17,25,25,25,12,0,0,15
Dickinson College,57,86,52,20,0,PA,1,2,2,2,13,2,81,84,84,20,84,230,0,0,41
Dickinson State University,9,17,25,11,0,ND,1,1,2,2,33,2,16,35,36,30,36,84,0,0,8
DigiPen Institute of Technology,7,9,16,0,39,WA,1,3,2,2,13,2,38,49,53,20,53,89,0,0,0
Dillard University,12,18,27,10,0,LA,1,2,1,2,11,2,33,47,50,28,50,79,0,0,41
Dine College,13,14,12,24,0,AZ,1,1,2,1,43,2,22,34,71,25,20,72,0,0,17
Divine Mercy University,6,11,7,0,0,VA,1,2,2,2,21,1,22,34,71,20,50,24,0,0,3
Divine Word College,1,1,12,3,0,IA,1,2,2,2,42,1,50,50,50,50,50,19,0,0,0
Dixie State University,38,64,100,26,0,UT,1,1,2,2,13,4,14,19,23,30,35,366,0,0,54
Doane University,28,29,42,2,0,NE,1,2,2,2,32,2,55,60,60,33,60,160,3,0,11
Dominican College of Blauvelt,5,16,45,7,0,NY,1,2,2,2,21,2,33,47,48,33,48,120,0,0,18
Dominican School of Philosophy & Theology,8,0,3,0,0,CA,1,2,2,2,12,1,22,34,71,20,50,13,0,0,2
Dominican University,51,35,38,0,18,IL,1,2,2,2,21,2,53,60,63,26,63,226,0,0,29
Dominican University of California,26,18,55,0,0,CA,1,2,2,2,13,2,62,73,74,19,74,168,0,0,37
Dongguk University Los Angeles,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,11,0,0,6
Donnelly College,0,0,13,0,0,KS,1,2,2,2,12,1,22,34,71,35,13,23,0,0,13
Dordt University,36,27,13,13,0,IA,1,2,2,2,33,2,61,65,65,20,66,105,0,0,5
Dragon Rises College of Oriental Medicine,166,182,201,56,19,FL,1,2,2,2,12,1,22,34,71,20,50,1,0,0,0
Drake University,93,126,78,3,0,IA,1,2,2,2,12,2,69,76,77,20,78,353,4,0,73
Drew University,50,45,34,1,0,NJ,1,2,2,2,21,2,64,68,69,20,69,167,0,0,18
Drexel University,280,236,115,593,0,PA,1,2,2,2,11,5,26,67,71,20,71,1547,71,0,113
Drury University,41,32,25,7,0,MO,1,2,2,2,12,2,40,56,60,20,60,114,0,0,31
Drury University-College of Continuing Professional Studies,2,2,0,4,0,MO,1,2,2,2,12,2,5,14,23,20,31,47,0,0,23
Duke University,1384,929,1260,353,148,NC,1,2,2,2,11,4,88,94,96,20,96,4151,1457,0,56
Dunwoody College of Technology,2,21,24,46,0,MN,1,2,2,2,11,2,0,0,0,2,49,114,0,0,21
Duquesne University,93,205,153,25,0,PA,1,2,2,2,11,3,69,76,77,20,79,635,0,0,50
Eagle Gate College-Boise Campus,0,0,0,0,0,ID,1,3,2,2,12,1,22,34,71,20,50,3,0,0,9
Eagle Gate College-Layton,166,182,201,56,19,UT,1,3,2,2,21,1,38,38,38,20,65,4,0,0,6
Eagle Gate College-Murray,0,0,0,8,0,UT,1,3,2,2,21,1,100,100,100,10,42,14,0,0,11
Earlham College,29,25,38,1,0,IN,1,2,2,2,32,1,61,66,67,20,67,100,1,0,42
East Carolina University,298,467,385,170,0,NC,1,1,2,2,13,5,42,62,65,24,65,1452,29,288,203
East Central University,23,15,60,39,4,OK,1,1,2,2,33,2,25,36,39,24,39,159,0,0,30
East Georgia State College,17,29,14,9,0,GA,1,1,2,2,33,2,0,0,0,60,14,85,0,0,12
East Stroudsburg University of Pennsylvania,87,66,41,23,0,PA,1,1,2,2,13,3,37,48,50,32,50,240,0,0,0
East Tennessee State University,234,197,236,38,62,TN,1,1,2,2,13,4,32,46,50,24,50,861,40,33,17
East Texas Baptist University,25,17,30,0,0,TX,1,2,2,2,32,2,27,34,35,49,35,91,0,0,24
East West College of Natural Medicine,166,182,201,56,19,FL,1,3,2,2,13,1,22,34,71,20,50,6,0,0,0
East-West University,0,3,6,0,0,IL,1,2,2,2,11,1,13,16,16,34,18,16,0,0,9
Eastern Connecticut State University,91,50,47,2,0,CT,1,1,2,2,31,2,45,54,56,20,56,283,0,0,67
Eastern Florida State College,52,47,52,114,0,FL,1,1,2,2,21,4,22,34,71,9,47,457,0,0,99
Eastern Illinois University,136,71,56,115,0,IL,1,1,2,2,32,3,35,49,51,34,51,423,0,0,8
Eastern International College-Belleville,0,0,0,6,0,NJ,1,3,2,2,21,1,64,76,76,8,79,11,0,0,0
Eastern International College-Jersey City,0,0,0,18,0,NJ,1,3,2,2,11,1,5,41,68,14,67,25,0,0,1
Eastern Kentucky University,150,159,147,13,58,KY,1,1,2,2,32,4,33,49,52,25,45,700,0,0,198
Eastern Mennonite University,17,23,32,15,2,VA,1,2,2,2,13,2,48,59,60,28,60,122,1,0,0
Eastern Michigan University,313,176,84,2,75,MI,1,1,2,2,21,4,20,40,47,20,47,808,0,0,35
Eastern Nazarene College,6,5,18,4,0,MA,1,2,2,2,21,1,22,35,38,20,38,62,0,0,30
Eastern New Mexico University-Main Campus,31,23,66,44,0,NM,1,1,2,2,33,3,20,27,29,32,36,186,0,0,35
Eastern Oregon University,23,39,23,23,0,OR,1,1,2,2,33,2,9,10,28,45,28,136,0,0,9
Eastern School of Acupuncture and Traditional Medicine,166,182,201,56,19,NJ,1,3,2,2,21,1,22,34,71,20,50,9,0,0,2
Eastern University,29,21,17,0,22,PA,1,2,2,2,21,2,50,57,58,29,58,194,0,0,21
Eastern Virginia Medical School,41,62,97,16,0,VA,1,1,2,2,12,2,22,34,71,20,50,219,50,57,59
Eastern Washington University,155,74,66,0,149,WA,1,1,2,2,31,4,26,45,51,20,53,489,0,0,70
Eastwick College-Ramsey,3,1,0,4,0,NJ,1,3,2,2,21,1,22,34,71,20,64,24,0,0,5
Ecclesia College,0,0,0,8,0,AR,1,2,2,2,41,1,35,38,38,29,25,17,0,0,0
Eckerd College,45,29,63,19,0,FL,1,2,2,2,11,2,59,64,65,20,65,164,0,0,0
ECPI University,25,159,0,227,0,VA,1,3,2,2,11,4,37,38,39,2,43,630,1,0,412
Ecumenical Theological Seminary,166,182,201,56,19,MI,1,2,2,2,11,1,22,34,71,20,50,7,0,0,0
Eden Theological Seminary,3,2,2,1,0,MO,1,2,2,2,21,1,22,34,71,20,50,10,0,0,1
Edgewood College,16,34,15,4,35,WI,1,2,2,2,11,2,42,62,65,28,65,141,0,0,30
Edinboro University of Pennsylvania,87,61,59,20,0,PA,1,1,2,2,31,2,35,47,50,27,43,244,0,0,3
Edmonds College,0,0,0,0,0,WA,1,1,2,2,21,3,22,34,71,25,30,184,0,0,14
Edward Via College of Osteopathic Medicine,23,36,80,15,0,VA,1,2,2,2,13,2,22,34,71,20,50,1407,10,0,87
Edward Waters College,11,12,19,10,0,FL,1,2,1,2,11,2,16,28,28,24,28,82,0,3,25
Elizabeth City State University,22,27,24,0,14,NC,1,1,1,2,32,2,21,38,43,26,43,101,0,0,28
Elizabethtown College,36,41,15,2,12,PA,1,2,2,2,21,2,68,72,72,20,72,136,0,0,20
Elmezzi Graduate School of Molecular Medicine,166,182,201,56,19,NY,1,2,2,2,21,1,22,34,71,20,50,-149,-5,74,60
Elmhurst University,56,33,47,1,16,IL,1,2,2,2,21,2,58,67,68,20,68,236,0,0,3
Elmira College,5,19,25,3,4,NY,1,2,2,2,13,1,63,66,67,32,68,75,0,1,5
Elon University,87,150,150,3,57,NC,1,2,2,2,22,3,79,82,83,20,83,492,0,0,95
Embry-Riddle Aeronautical University-Daytona Beach,91,113,115,23,0,FL,1,2,2,2,13,3,34,56,61,20,62,352,9,0,360
Embry-Riddle Aeronautical University-Prescott,22,31,68,16,0,AZ,1,2,2,2,41,2,38,56,59,20,59,158,0,0,118
Embry-Riddle Aeronautical University-Worldwide,3,34,63,28,0,FL,1,2,2,2,13,4,10,19,24,20,23,269,0,0,121
Emerson College,39,76,57,0,57,MA,1,2,2,2,11,3,75,78,79,20,79,358,0,0,26
Emmanuel College,16,36,32,0,21,MA,1,2,2,2,11,2,56,60,62,20,62,134,0,0,0
Emmanuel College,15,10,19,2,0,GA,1,2,2,2,32,1,5,33,38,45,39,59,0,0,0
Emmaus Bible College,0,0,0,0,0,IA,1,2,2,2,13,1,42,49,53,20,83,26,0,0,0
Emory & Henry College,18,28,41,5,0,VA,1,2,2,2,41,2,46,53,54,18,54,124,0,0,14
Emory University,721,506,591,85,126,GA,1,2,2,2,11,4,82,89,90,20,90,2214,888,1171,1087
Emperor's College of Traditional Oriental Medicine,166,182,201,56,19,CA,1,3,2,2,13,1,22,34,71,20,50,18,0,0,6
Empire College,0,0,0,16,0,CA,1,3,2,2,12,1,22,34,71,20,59,27,0,0,5
Emporia State University,66,61,76,34,0,KS,1,1,2,2,33,3,27,43,46,33,46,249,0,0,20
Endicott College,45,31,36,3,0,MA,1,2,2,2,21,2,75,77,78,6,79,255,0,0,66
Epic Bible College,0,0,0,0,0,CA,1,2,2,2,21,1,20,20,20,20,20,13,0,0,1
Episcopal Theological Seminary of the Southwest,3,5,7,1,0,TX,1,2,2,2,11,1,22,34,71,20,50,20,0,0,2
Erikson Institute,4,8,2,7,0,IL,1,2,2,2,11,1,22,34,71,20,50,48,15,3,0
Erskine College,21,7,15,0,0,SC,1,2,2,2,42,1,48,52,52,20,52,50,0,0,14
Eureka College,7,11,16,0,0,IL,1,2,2,2,31,1,52,59,60,33,60,41,0,0,19
Evangel University,32,30,20,2,0,MO,1,2,2,2,12,2,27,31,48,20,55,112,0,0,52
Evangelical Theological Seminary,166,182,201,56,19,PA,1,2,2,2,23,1,22,34,71,20,50,13,0,0,0
Everglades University,0,0,0,48,0,FL,1,2,2,2,13,2,52,58,58,2,58,124,0,0,0
Excelsior College,166,182,201,56,19,NY,1,2,2,2,13,5,22,34,71,20,50,224,0,0,197
Fairfax University of America,1,1,2,1,0,VA,1,2,2,2,21,1,0,17,17,67,17,16,5,0,0
Fairfield University,81,107,98,26,0,CT,1,2,2,2,21,3,80,82,82,15,82,414,0,0,102
Fairleigh Dickinson University-Florham Campus,46,43,52,1,21,NJ,1,2,2,2,21,2,53,62,63,17,63,232,0,0,2
Fairleigh Dickinson University-Metropolitan Campus,47,29,42,4,28,NJ,1,2,2,2,21,3,38,48,52,31,53,262,0,0,4
Fairmont State University,42,34,65,8,0,WV,1,1,2,2,32,2,25,36,36,31,35,209,0,0,1
Faith Baptist Bible College and Theological Seminary,6,4,9,1,0,IA,1,2,2,2,21,1,37,45,48,18,52,30,0,0,1
Faith International University,5,1,0,2,0,WA,1,2,2,2,12,1,17,33,33,33,33,13,0,0,0
Faith Theological Seminary and Christian College,166,182,201,56,19,FL,1,2,2,2,21,-1,22,34,71,20,50,-149,-5,74,60
Family of Faith Christian University,166,182,201,56,19,OK,1,2,2,2,42,1,0,0,0,20,0,6,0,0,2
Farmingdale State College,56,52,147,0,13,NY,1,1,2,2,21,4,32,48,51,27,53,445,0,19,18
Fashion Institute of Technology,67,65,79,0,0,NY,1,1,2,2,11,3,22,34,71,7,83,446,0,0,38
Faulkner University,38,24,31,3,25,AL,1,2,2,2,12,2,16,26,27,33,27,163,0,0,28
Fayetteville State University,84,75,41,3,45,NC,1,1,1,2,12,3,23,34,36,31,36,300,0,0,58
Feather River Community College District,0,0,0,21,0,CA,1,1,2,2,41,2,22,34,71,39,30,52,1,0,17
Felbry College School of Nursing,0,0,0,9,0,OH,1,3,2,2,11,1,22,34,71,20,50,9,0,0,1
Felician University,15,26,26,13,0,NJ,1,2,2,2,21,2,34,50,53,32,54,144,0,0,14
Ferris State University,170,149,86,2,0,MI,1,1,2,2,32,4,36,54,59,24,50,561,0,0,29
Ferrum College,8,23,25,4,0,VA,1,2,2,2,42,1,19,31,32,50,32,71,0,0,10
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,0,0,0,16,0,CA,1,3,2,2,11,2,22,34,71,3,72,86,0,0,1
FIDM-Fashion Institute of Design & Merchandising-San Francisco,166,182,201,56,19,CA,1,3,2,2,11,1,22,34,71,3,72,9,0,0,1
Fielding Graduate University,0,0,0,51,0,CA,1,2,2,2,13,2,22,34,71,20,50,89,0,0,22
Finlandia University,1,9,12,2,0,MI,1,2,2,2,33,1,16,21,21,20,26,33,0,0,23
Fisher College,1,12,20,0,0,MA,1,2,2,2,11,2,23,30,30,37,35,84,2,10,37
Fisk University,9,26,12,8,0,TN,1,2,1,2,11,1,40,48,49,25,51,64,8,0,13
Fitchburg State University,68,69,53,10,0,MA,1,1,2,2,22,3,38,55,58,25,58,261,0,0,43
Five Branches University,1,0,0,0,0,CA,1,3,2,2,22,1,22,34,71,20,50,21,0,0,1
Five Towns College,4,6,9,6,0,NY,1,3,2,2,21,1,36,45,48,20,46,58,0,0,21
Flagler College,20,38,58,2,3,FL,1,2,2,2,23,2,47,55,58,20,58,166,0,0,12
Florida Agricultural and Mechanical University,150,166,137,80,0,FL,1,1,1,2,12,3,22,48,55,23,55,616,41,26,107
Florida Atlantic University,247,235,177,214,1,FL,1,1,2,2,13,5,34,52,56,31,56,1020,106,47,218
Florida Coastal School of Law,8,0,0,0,0,FL,1,3,2,2,11,1,22,34,71,20,50,10,0,0,2
Florida College,38,0,0,0,0,FL,1,2,2,2,21,1,19,26,28,20,54,42,0,0,27
Florida College of Integrative Medicine,166,182,201,56,19,FL,1,3,2,2,21,1,22,34,71,20,50,6,1,2,0
Florida Gateway College,0,0,1,0,0,FL,1,1,2,2,32,2,22,34,71,8,56,113,0,0,1
Florida Gulf Coast University,101,134,146,134,1,FL,1,1,2,2,21,4,29,49,53,9,53,600,0,0,94
Florida Institute of Technology,73,76,102,21,0,FL,1,2,2,2,13,3,43,57,60,20,60,331,8,0,36
Florida Institute of Technology-Online,0,3,5,2,0,FL,1,2,2,2,13,2,22,34,71,20,50,55,0,0,6
Florida International University,295,357,299,414,13,FL,1,1,2,2,21,5,38,60,67,18,67,1723,297,2,242
Florida Memorial University,6,26,21,8,0,FL,1,2,1,2,21,1,22,28,35,16,35,70,0,0,13
Florida National University-Main Campus,0,0,0,88,0,FL,1,3,2,2,21,2,57,57,57,20,47,121,0,0,0
Florida Polytechnic University,3,13,41,14,0,FL,1,1,2,2,41,2,36,47,50,20,50,77,1,0,14
Florida Southern College,20,55,66,16,0,FL,1,2,2,2,12,2,62,68,68,20,68,213,0,12,54
Florida SouthWestern State College,0,0,0,0,0,FL,1,1,2,2,21,4,22,34,71,10,37,338,0,0,134
Florida State College at Jacksonville,0,0,0,0,0,FL,1,1,2,2,11,5,22,34,71,12,40,541,0,0,116
Florida State University,511,371,336,0,0,FL,1,1,2,2,12,5,72,83,84,5,84,1769,442,0,651
Florida Technical College,166,182,201,56,19,FL,1,3,2,2,21,-2,22,34,71,20,50,-149,-5,74,60
Fontbonne University,15,17,16,6,0,MO,1,2,2,2,21,2,49,65,66,20,66,87,0,0,7
Foothill College,0,0,0,171,0,CA,1,1,2,2,21,4,22,34,71,11,59,292,0,0,17
Fordham University,244,206,126,14,0,NY,1,2,2,2,11,4,79,82,83,10,83,1044,0,0,17
Fort Hays State University,58,69,128,99,17,KS,1,1,2,2,33,4,25,41,46,28,46,501,0,0,4
Fort Lewis College,58,37,59,11,21,CO,1,1,2,2,32,2,29,40,42,34,42,203,0,0,10
Fort Valley State University,26,31,28,3,7,GA,1,1,1,2,31,2,18,35,43,28,43,109,4,2,118
Framingham State University,64,66,57,2,0,MA,1,1,2,2,13,2,47,59,61,27,61,226,0,0,49
Francis Marion University,69,47,83,13,0,SC,1,1,2,2,23,2,23,39,44,40,44,242,0,0,6
Franciscan Missionaries of Our Lady University,5,23,48,13,0,LA,1,2,2,2,12,2,18,32,33,20,38,89,0,0,20
Franciscan School of Theology,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,2,0,0,0
Franciscan University of Steubenville,60,27,33,6,0,OH,1,2,2,2,13,2,68,76,77,16,79,175,0,0,38
Franklin and Marshall College,82,71,75,4,0,PA,1,2,2,2,13,2,81,84,85,11,85,263,0,0,56
Franklin College,15,15,36,7,2,IN,1,2,2,2,21,1,58,63,63,25,63,83,0,0,19
Franklin Pierce University,17,28,40,3,0,NH,1,2,2,2,41,2,45,52,52,20,51,181,0,0,18
Franklin University,0,0,0,0,0,OH,1,2,2,2,11,3,39,41,42,37,42,362,0,0,13
Franklin W Olin College of Engineering,19,9,13,6,0,MA,1,2,2,2,21,1,80,92,94,3,94,51,0,0,12
Freed-Hardeman University,19,32,33,15,0,TN,1,2,2,2,32,2,58,64,66,20,66,122,0,0,8
Fremont College,0,0,0,2,0,CA,1,3,2,2,21,1,22,34,71,20,38,10,0,0,8
Fresno Pacific University,18,41,40,4,0,CA,1,2,2,2,11,2,56,67,67,20,67,295,0,0,27
Friends University,17,11,29,0,1,KS,1,2,2,2,11,2,35,40,42,40,42,94,0,0,13
Front Range Community College,240,0,0,0,0,CO,1,1,2,2,21,4,22,34,71,19,23,531,0,0,86
Frontier Nursing University,2,15,39,89,0,KY,1,2,2,2,41,2,22,34,71,20,50,151,0,0,39
Frostburg State University,70,72,57,1,39,MD,1,1,2,2,23,2,26,48,53,9,53,273,0,0,4
Full Sail University,479,133,0,0,0,FL,1,3,2,2,21,5,46,46,46,2,44,786,0,0,5
Fuller Theological Seminary,17,21,9,0,0,CA,1,2,2,2,12,2,22,34,71,20,50,48,1,0,19
Furman University,81,29,118,13,14,SC,1,2,2,2,21,2,75,80,81,17,81,277,3,0,39
Future Generations University,3,1,1,2,0,WV,1,2,2,2,43,1,22,34,71,20,50,7,5,0,4
Galen College of Nursing-Cincinnati,0,0,3,23,0,OH,1,3,2,2,21,2,22,34,71,20,47,39,0,0,6
Galen College of Nursing-Louisville,0,2,7,53,0,KY,1,3,2,2,11,2,22,34,71,1,52,98,0,0,20
Galen College of Nursing-San Antonio,0,1,6,75,0,TX,1,3,2,2,11,2,22,34,71,0,56,120,0,0,24
Galen College of Nursing-Tampa Bay,0,0,6,71,0,FL,1,3,2,2,11,2,22,34,71,2,57,90,0,0,21
Gallaudet University,73,38,44,14,23,DC,1,2,2,2,11,2,19,39,44,23,44,197,8,0,18
Galveston College,2,8,6,46,0,TX,1,1,2,2,31,2,22,34,71,25,25,84,0,0,23
Gannon University,34,76,117,13,0,PA,1,2,2,2,13,2,54,67,68,21,68,295,0,0,19
Gardner-Webb University,57,27,46,18,1,NC,1,2,2,2,32,2,45,53,54,20,56,204,0,0,12
Garrett-Evangelical Theological Seminary,11,11,4,1,0,IL,1,2,2,2,13,1,22,34,71,20,50,30,0,0,8
Geisinger Commonwealth School of Medicine,12,23,0,1,0,PA,1,2,2,2,13,1,22,34,71,20,50,43,3,0,32
Gemini School of Visual Arts & Communication,166,182,201,56,19,TX,1,3,2,2,21,1,100,100,100,20,100,4,0,0,0
Geneva College,25,27,7,1,0,PA,1,2,2,2,21,2,67,72,72,20,72,101,0,0,15
George Fox University,63,51,70,0,2,OR,1,2,2,2,31,2,55,65,66,24,66,350,0,0,52
George Mason University,376,496,438,89,0,VA,1,1,2,2,21,5,48,66,72,15,72,1830,219,0,253
George Washington University,426,391,268,1,0,DC,1,2,2,2,11,5,79,84,85,20,85,1668,93,0,515
Georgetown College,36,18,10,8,5,KY,1,2,2,2,31,2,50,55,56,20,56,100,0,0,10
Georgetown University,445,242,119,0,0,DC,1,2,2,2,11,4,90,94,94,20,94,1573,402,0,33
Georgia College & State University,108,70,84,1,76,GA,1,1,2,2,32,3,48,60,62,34,62,365,0,0,70
Georgia Gwinnett College,57,184,154,31,27,GA,1,1,2,2,21,4,3,12,18,44,18,495,0,0,74
Georgia Highlands College,32,32,35,28,0,GA,1,1,2,2,41,3,22,34,71,41,13,177,0,2,38
Georgia Institute of Technology-Main Campus,411,258,170,0,81,GA,1,1,2,2,11,5,47,86,91,6,91,1215,2536,122,338
Georgia Military College,31,14,80,0,0,GA,1,1,2,2,32,3,22,34,71,26,29,268,0,0,84
Georgia Southern University,213,266,248,78,179,GA,1,1,2,2,32,5,29,49,54,30,54,1056,13,3,217
Georgia Southwestern State University,32,26,24,2,32,GA,1,1,2,2,32,2,19,33,36,49,36,134,0,0,41
Georgia State University,290,341,227,41,171,GA,1,1,2,2,11,5,29,48,53,25,53,1349,67,42,606
Georgian Court University,24,27,32,1,5,NJ,1,2,2,2,13,2,47,55,57,31,57,145,0,0,25
Gettysburg College,61,85,63,1,14,PA,1,2,2,2,13,2,80,83,84,14,84,250,0,0,29
Glasgow Caledonian New York College,166,182,201,56,19,NY,1,2,2,2,11,1,22,34,71,20,50,3,0,0,0
Glendale Career College,0,0,0,16,0,CA,1,3,2,2,12,1,22,34,71,20,66,40,0,0,7
